,Open,Close,"SI(C2>B2,1,0)"
1728,1200.28003,1199.38001,0
1729,1198.47998,1119.45996,0
1730,1120.22998,1172.53003,1
1731,1171.77002,1120.76001,0
1732,1121.30005,1172.64002,1
1733,1172.87,1178.81006,1
1734,1178.85999,1204.48999,1
1735,1204.21997,1192.76001,0
1736,1192.89002,1193.89002,1
1737,1189.62,1140.65002,0
1738,1140.46997,1123.53003,0
1739,1123.55005,1123.81995,1
1740,1124.35999,1162.34998,1
1741,1162.16003,1177.59998,1
1742,1176.68994,1159.27002,0
1743,1158.84998,1176.80005,1
1744,1177.91003,1210.07996,1
1745,1209.76001,1212.92004,1
1746,1213,1218.89002,1
1747,1219.12,1204.42004,0
1748,1203.90002,1173.96997,0
1749,1173.96997,1165.23999,0
1750,1165.84998,1198.62,1
1751,1197.97998,1185.90002,0
1752,1185.37,1154.22998,0
1753,1153.5,1162.27002,1
1754,1162.58997,1172.87,1
1755,1173.31995,1188.68005,1
1756,1189.43994,1209.10999,1
1757,1209.20996,1216.01001,1
1758,1214.98999,1204.08997,0
1759,1204.5,1202.08997,0
1760,1203.63001,1166.76001,0
1761,1164.55005,1129.56006,0
1762,1128.81995,1136.43005,1
1763,1136.91003,1162.94995,1
1764,1163.31995,1175.38001,1
1765,1175.39002,1151.06006,0
1766,1151.73999,1160.40002,1
1767,1159.93005,1131.42004,0
1768,1131.20996,1099.22998,0
1769,1097.42004,1123.94995,1
1770,1124.03003,1144.03003,1
1771,1144.10999,1164.96997,1
1772,1165.03003,1155.45996,0
1773,1158.15002,1194.89002,1
1774,1194.59998,1195.54004,1
1775,1196.18994,1207.25,1
1776,1206.95996,1203.66003,0
1777,1205.65002,1224.57996,1
1778,1224.46997,1200.85999,0
1779,1200.75,1225.38001,1
1780,1223.45996,1209.88001,0
1781,1209.92004,1215.39002,1
1782,1215.39002,1238.25,1
1783,1238.71997,1254.18994,1
1784,1254.18994,1229.05005,0
1785,1229.17004,1242,1
1786,1243.96997,1284.58997,1
1787,1284.39002,1285.08997,1
1788,1284.95996,1253.30005,0
1789,1251,1218.28003,0
1790,1219.62,1237.90002,1
1791,1238.25,1261.15002,1
1792,1260.81995,1253.22998,0
1793,1253.20996,1261.12,1
1794,1261.12,1275.92004,1
1795,1275.18005,1229.09998,0
1796,1229.58997,1239.69995,1
1797,1240.12,1263.84998,1
1798,1263.84998,1251.78003,0
1799,1251.69995,1257.81006,1
1800,1257.81006,1236.91003,0
1801,1236.56006,1216.13001,0
1802,1216.18994,1215.65002,0
1803,1215.62,1192.97998,0
1804,1192.97998,1188.04004,0
1805,1187.47998,1161.79004,0
1806,1161.41003,1158.67004,0
1807,1158.67004,1192.55005,1
1808,1192.56006,1195.18994,1
1809,1196.71997,1246.95996,1
1810,1246.91003,1244.57996,0
1811,1246.03003,1244.28003,0
1812,1244.32996,1257.07996,1
1813,1257.18994,1258.46997,1
1814,1258.14002,1261.01001,1
1815,1260.87,1234.34998,0
1816,1234.47998,1255.18994,1
1817,1255.05005,1236.46997,0
1818,1236.82996,1225.72998,0
1819,1225.72998,1211.81995,0
1820,1212.12,1215.75,1
1821,1216.08997,1219.66003,1
1822,1219.73999,1205.34998,0
1823,1205.71997,1241.30005,1
1824,1241.25,1243.71997,1
1825,1243.71997,1254,1
1826,1254,1265.32996,1
1827,1265.02002,1265.43005,1
1828,1265.38001,1249.64002,0
1829,1249.75,1263.02002,1
1830,1262.81995,1257.59998,0
1831,1258.85999,1277.06006,1
1832,1277.03003,1277.30005,1
1833,1277.30005,1281.06006,1
1834,1280.93005,1277.81006,0
1835,1277.82996,1280.69995,1
1836,1280.77002,1292.07996,1
1837,1292.02002,1292.47998,1
1838,1292.47998,1295.5,1
1839,1294.81995,1289.08997,0
1840,1290.21997,1293.67004,1
1841,1293.65002,1308.04004,1
1842,1308.06995,1314.5,1
1843,1314.48999,1315.38001,1
1844,1315.29004,1316,1
1845,1315.95996,1314.65002,0
1846,1314.40002,1326.06006,1
1847,1326.28003,1318.43005,0
1848,1318.25,1316.32996,0
1849,1316.16003,1313.01001,0
1850,1313.53003,1312.41003,0
1851,1312.44995,1324.08997,1
1852,1324.23999,1325.54004,1
1853,1326.20996,1344.90002,1
1854,1344.31995,1344.32996,1
1855,1344.32996,1347.05005,1
1856,1347.04004,1349.95996,1
1857,1349.96997,1351.94995,1
1858,1351.20996,1342.64002,0
1859,1343.06006,1351.77002,1
1860,1351.30005,1350.5,0
1861,1350.52002,1343.22998,0
1862,1342.60999,1358.04004,1
1863,1358.06006,1361.22998,1
1864,1361.21997,1362.20996,1
1865,1362.10999,1357.66003,0
1866,1357.53003,1363.45996,1
1867,1363.45996,1365.73999,1
1868,1365.19995,1367.58997,1
1869,1367.56006,1372.18005,1
1870,1372.19995,1365.68005,0
1871,1365.90002,1374.08997,1
1872,1374.08997,1369.63001,0
1873,1369.58997,1364.32996,0
1874,1363.63001,1343.35999,0
1875,1343.39002,1352.63001,1
1876,1352.65002,1365.91003,1
1877,1365.96997,1370.87,1
1878,1370.78003,1371.08997,1
1879,1371.92004,1395.94995,1
1880,1395.94995,1394.28003,0
1881,1394.17004,1402.59998,1
1882,1402.55005,1404.17004,1
1883,1404.17004,1409.75,1
1884,1409.58997,1405.52002,0
1885,1405.52002,1402.89002,0
1886,1402.89002,1392.78003,0
1887,1392.78003,1397.10999,1
1888,1397.10999,1416.51001,1
1889,1416.55005,1412.52002,0
1890,1412.52002,1405.54004,0
1891,1405.39002,1403.28003,0
1892,1403.31006,1408.46997,1
1893,1408.46997,1419.04004,1
1894,1418.97998,1413.38001,0
1895,1413.08997,1398.95996,0
1896,1398.79004,1398.07996,0
1897,1397.44995,1382.19995,0
1898,1382.18005,1358.58997,0
1899,1358.97998,1368.70996,1
1900,1368.77002,1387.56995,1
1901,1387.60999,1370.26001,0
1902,1370.27002,1369.56995,0
1903,1369.56995,1390.78003,1
1904,1390.78003,1385.14002,0
1905,1385.07996,1376.92004,0
1906,1376.95996,1378.53003,1
1907,1378.53003,1366.93994,0
1908,1366.96997,1371.96997,1
1909,1372.10999,1390.68994,1
1910,1390.64002,1399.97998,1
1911,1400.18994,1403.35999,1
1912,1403.26001,1397.91003,0
1913,1397.85999,1405.81995,1
1914,1405.5,1402.31006,0
1915,1402.31995,1391.56995,0
