"<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>,<oi>"
"0,20170810,110530,11.000,11.000,11.000,11.000,1038.000,0"
"1,20170810,111047,11.000,11.000,11.000,11.000,922.000,0"
"2,20170810,111130,11.000,11.000,11.000,11.000,2000.000,0"
"3,20170810,111149,11.000,11.000,11.000,11.000,78.000,0"
"4,20170810,111202,11.000,11.000,11.000,11.000,183.000,0"
"5,20170810,111904,11.000,11.000,11.000,11.000,317.000,0"
"6,20170810,112328,10.900,10.900,10.900,10.900,152.000,0"
"7,20170810,112810,11.000,11.000,11.000,11.000,90.000,0"
"8,20170810,112926,11.250,11.250,11.250,11.250,50.000,0"
"9,20170810,113159,11.200,11.200,11.200,11.200,1000.000,0"
"10,20170810,113251,11.200,11.200,11.200,11.200,500.000,0"
"11,20170810,113328,11.200,11.200,11.200,11.200,5000.000,0"
"12,20170810,113329,11.150,11.150,11.150,11.150,10000.000,0"
"13,20170810,113355,11.200,11.200,11.200,11.200,51.000,0"
"14,20170810,113512,11.250,11.250,11.250,11.250,917.000,0"
"15,20170810,113745,11.250,11.250,11.250,11.250,1715.000,0"
"16,20170810,113903,11.250,11.250,11.250,11.250,2582.000,0"
"17,20170810,113903,11.250,11.250,11.250,11.250,4418.000,0"
"18,20170810,114628,11.250,11.250,11.250,11.250,418.000,0"
"19,20170810,114628,11.250,11.250,11.250,11.250,22.000,0"
"20,20170810,114736,11.250,11.250,11.250,11.250,4978.000,0"
"21,20170810,115144,11.250,11.250,11.250,11.250,2500.000,0"
"22,20170810,115434,11.250,11.250,11.250,11.250,977.000,0"
"23,20170810,115744,11.250,11.250,11.250,11.250,1000.000,0"
"24,20170810,115744,11.250,11.250,11.250,11.250,9376.000,0"
"25,20170810,115744,11.250,11.250,11.250,11.250,23.000,0"
"26,20170810,115913,11.300,11.300,11.300,11.300,3000.000,0"
"27,20170810,115913,11.300,11.300,11.300,11.300,317.000,0"
"28,20170810,115919,11.300,11.300,11.300,11.300,1683.000,0"
"29,20170810,115924,11.300,11.300,11.300,11.300,317.000,0"
"30,20170810,115934,11.350,11.350,11.350,11.350,1500.000,0"
"31,20170810,120244,11.400,11.400,11.400,11.400,1038.000,0"
"32,20170810,120309,11.400,11.400,11.400,11.400,2470.000,0"
"33,20170810,120751,11.400,11.400,11.400,11.400,3000.000,0"
"34,20170810,120837,11.450,11.450,11.450,11.450,900.000,0"
"35,20170810,120852,11.450,11.450,11.450,11.450,80.000,0"
"36,20170810,120853,11.450,11.450,11.450,11.450,2020.000,0"
"37,20170810,120853,11.450,11.450,11.450,11.450,3000.000,0"
"38,20170810,120853,11.450,11.450,11.450,11.450,2500.000,0"
"39,20170810,120853,11.450,11.450,11.450,11.450,3500.000,0"
"40,20170810,120853,11.450,11.450,11.450,11.450,80.000,0"
"41,20170810,120857,11.450,11.450,11.450,11.450,320.000,0"
"42,20170810,120857,11.450,11.450,11.450,11.450,2500.000,0"
"43,20170810,120900,11.500,11.500,11.500,11.500,5000.000,0"
"44,20170810,120900,11.500,11.500,11.500,11.500,13000.000,0"
"45,20170810,120900,11.500,11.500,11.500,11.500,415.000,0"
"46,20170810,120900,11.500,11.500,11.500,11.500,5000.000,0"
"47,20170810,120900,11.500,11.500,11.500,11.500,2500.000,0"
"48,20170810,120900,11.500,11.500,11.500,11.500,1376.000,0"
"49,20170810,120900,11.500,11.500,11.500,11.500,1558.000,0"
"50,20170810,120900,11.500,11.500,11.500,11.500,5000.000,0"
"51,20170810,120908,11.600,11.600,11.600,11.600,5000.000,0"
"52,20170810,121213,11.600,11.600,11.600,11.600,1379.000,0"
"53,20170810,121248,11.600,11.600,11.600,11.600,4929.000,0"
"54,20170810,121317,11.600,11.600,11.600,11.600,1756.000,0"
"55,20170810,121357,11.600,11.600,11.600,11.600,650.000,0"
"56,20170810,121357,11.600,11.600,11.600,11.600,1000.000,0"
"57,20170810,121520,11.600,11.600,11.600,11.600,2000.000,0"
"58,20170810,121620,11.600,11.600,11.600,11.600,1700.000,0"
"59,20170810,121626,11.600,11.600,11.600,11.600,650.000,0"
"60,20170810,121629,11.650,11.650,11.650,11.650,2389.000,0"
"61,20170810,121629,11.650,11.650,11.650,11.650,1000.000,0"
"62,20170810,121634,11.650,11.650,11.650,11.650,2500.000,0"
"63,20170810,121634,11.650,11.650,11.650,11.650,2811.000,0"
"64,20170810,121821,11.550,11.550,11.550,11.550,900.000,0"
"65,20170810,121821,11.550,11.550,11.550,11.550,4000.000,0"
"66,20170810,121906,11.550,11.550,11.550,11.550,1000.000,0"
"67,20170810,121958,11.550,11.550,11.550,11.550,1000.000,0"
"68,20170810,122214,11.600,11.600,11.600,11.600,689.000,0"
"69,20170810,122219,11.600,11.600,11.600,11.600,4811.000,0"
"70,20170810,122221,11.550,11.550,11.550,11.550,811.000,0"
"71,20170810,122221,11.600,11.600,11.600,11.600,4189.000,0"
"72,20170810,122347,11.550,11.550,11.550,11.550,1139.000,0"
"73,20170810,122347,11.550,11.550,11.550,11.550,865.000,0"
"74,20170810,122352,11.500,11.500,11.500,11.500,1998.000,0"
"75,20170810,122352,11.500,11.500,11.500,11.500,5284.000,0"
"76,20170810,122447,11.550,11.550,11.550,11.550,4329.000,0"
"77,20170810,122454,11.550,11.550,11.550,11.550,1000.000,0"
"78,20170810,122840,11.550,11.550,11.550,11.550,7267.000,0"
"79,20170810,123034,11.500,11.500,11.500,11.500,100.000,0"
"80,20170810,123034,11.550,11.550,11.550,11.550,900.000,0"
"81,20170810,123704,11.600,11.600,11.600,11.600,1500.000,0"
"82,20170810,123711,11.600,11.600,11.600,11.600,1459.000,0"
"83,20170810,123743,11.600,11.600,11.600,11.600,1700.000,0"
"84,20170810,123757,11.600,11.600,11.600,11.600,3744.000,0"
"85,20170810,123833,11.550,11.550,11.550,11.550,2770.000,0"
"86,20170810,123855,11.550,11.550,11.550,11.550,280.000,0"
"87,20170810,123855,11.550,11.550,11.550,11.550,854.000,0"
"88,20170810,123855,11.550,11.550,11.550,11.550,866.000,0"
"89,20170810,123904,11.550,11.550,11.550,11.550,1700.000,0"
"90,20170810,123955,11.550,11.550,11.550,11.550,20.000,0"
"91,20170810,124023,11.500,11.500,11.500,11.500,5400.000,0"
"92,20170810,124023,11.500,11.500,11.500,11.500,2030.000,0"
"93,20170810,124046,11.450,11.450,11.450,11.450,10.000,0"
"94,20170810,124107,11.550,11.550,11.550,11.550,377.000,0"
"95,20170810,124119,11.450,11.450,11.450,11.450,26.000,0"
"96,20170810,125517,11.500,11.500,11.500,11.500,10.000,0"
"97,20170810,125539,11.550,11.550,11.550,11.550,87.000,0"
"98,20170810,125718,11.500,11.500,11.500,11.500,1810.000,0"
"99,20170810,125718,11.500,11.500,11.500,11.500,690.000,0"
"100,20170810,125957,11.550,11.550,11.550,11.550,2000.000,0"
"101,20170810,130140,11.550,11.550,11.550,11.550,123.000,0"
"102,20170810,130531,11.550,11.550,11.550,11.550,2000.000,0"
"103,20170810,130637,11.550,11.550,11.550,11.550,500.000,0"
"104,20170810,131043,11.550,11.550,11.550,11.550,290.000,0"
"105,20170810,131043,11.550,11.550,11.550,11.550,2500.000,0"
"106,20170810,131043,11.550,11.550,11.550,11.550,500.000,0"
"107,20170810,131043,11.550,11.550,11.550,11.550,2000.000,0"
"108,20170810,131050,11.600,11.600,11.600,11.600,944.000,0"
"109,20170810,131050,11.600,11.600,11.600,11.600,56.000,0"
"110,20170810,131120,11.550,11.550,11.550,11.550,1777.000,0"
"111,20170810,131143,11.600,11.600,11.600,11.600,400.000,0"
"112,20170810,131209,11.600,11.600,11.600,11.600,840.000,0"
"113,20170810,131241,11.600,11.600,11.600,11.600,331.000,0"
"114,20170810,131510,11.600,11.600,11.600,11.600,1880.000,0"
"115,20170810,131525,11.600,11.600,11.600,11.600,200.000,0"
"116,20170810,131727,11.600,11.600,11.600,11.600,3405.000,0"
"117,20170810,131727,11.600,11.600,11.600,11.600,1343.000,0"
"118,20170810,131732,11.600,11.600,11.600,11.600,1157.000,0"
"119,20170810,131732,11.600,11.600,11.600,11.600,1143.000,0"
"120,20170810,131751,11.600,11.600,11.600,11.600,577.000,0"
"121,20170810,132117,11.600,11.600,11.600,11.600,1850.000,0"
"122,20170810,132300,11.600,11.600,11.600,11.600,5000.000,0"
"123,20170810,133033,11.650,11.650,11.650,11.650,3000.000,0"
"124,20170810,133509,11.650,11.650,11.650,11.650,1800.000,0"
"125,20170810,133509,11.650,11.650,11.650,11.650,1000.000,0"
