,Open,Close,"SI(C2>B2,1,0)"
0,56.15,55.77,0
1,62.26,61.94,0
2,86.46,85.54,0
3,80.81,80.79,0
4,90.65,90.43,0
5,64.74,64.59,0
6,64.27,63.93,0
7,68.93,68.49,0
8,70.41,69.94,0
9,77.18,77.05,0
10,69.2,69.14,0
11,89.92,89.85,0
12,58.54,57.69,0
13,83.52,83.48,0
14,85.72,85.69,0
15,57.05,56.95,0
16,73.99,73.9,0
17,85.1,84.94,0
18,85.69,85.59,0
19,86.99,86.79,0
20,66.17,66.11,0
21,80.56,80.39,0
22,65.95,65.85,0
23,70.7,70.53,0
24,55.48,54.96,0
25,54.78,53.59,0
26,59.12,57.27,0
27,85.93,85.04,0
28,59.7,59.58,0
29,78.07,78.06,0
30,53.59,52.68,0
31,56.73,56.17,0
32,59.15,55.5,0
33,87.04,86.99,0
34,65.91,65.6,0
35,66.2,65.83,0
36,83.05,83.1,1
37,69.88,69.96,1
38,56.2,56.42,1
39,79.3,78.92,0
40,71.76,71.91,1
41,69.07,69.3,1
42,58.79,58.66,0
43,56.81,56.8,0
44,73.29,72.95,0
45,85.16,84.42,0
46,57.75,57.98,1
47,58.23,57.75,0
48,88.51,88.46,0
49,75.02,75.43,1
50,64.85,65.26,1
51,85.04,84.73,0
52,79.94,80.02,1
53,86.21,86.64,1
54,68.35,67.9,0
55,62.39,62.93,1
56,92.21,92.42,1
57,83.79,84.18,1
58,55.74,55.54,0
59,58.35,58.71,1
60,63.93,63.82,0
61,79.35,79.9,1
62,52.98,54.41,1
63,88.15,88.51,1
64,70.4,70.6,1
65,76.63,76.7,1
66,91.93,91.83,0
67,69.76,69.89,1
68,70.91,71.06,1
69,83.46,83.08,0
70,66.4,66.17,0
71,86.81,86.84,1
72,56.78,56.2,0
73,56.34,55.59,0
74,85.65,86.03,1
75,70.16,70.01,0
76,91.56,91.8,1
77,80.72,80.3,0
78,69.95,70.02,1
79,61.54,61.36,0
80,87.09,86.9,0
81,80.26,80.37,1
82,79.77,79.99,1
83,62.63,63.02,1
84,84.25,84.83,1
85,80.66,80.94,1
86,55.72,56.54,1
87,69.96,70.14,1
88,81.78,81.76,0
89,88.36,88.66,1
90,75.43,75.5,1
91,80.47,80.88,1
92,85.2,85.74,1
93,64.85,65.2,1
94,67.71,67.05,0
95,63.02,62.93,0
96,70.03,69.53,0
97,86.84,86.83,0
98,92.03,91.8,0
99,90.22,89.86,0
100,70.01,70.25,1
101,76.22,76.36,1
102,77.87,77.62,0
103,73,73.28,1
104,83.89,83.91,1
105,87.11,86.88,0
106,70.1,70.02,0
107,58.39,58.4,1
108,71.54,71.76,1
109,58.12,58.36,1
110,69.15,68.96,0
111,84.83,84.93,1
112,56.77,57.2,1
113,72.35,71.83,0
114,83.81,84.3,1
115,70.94,70.85,0
116,81.83,82.18,1
117,70.66,70.51,0
118,87.13,87.02,0
119,65.93,65.61,0
120,70.03,70.41,1
121,77.09,77.11,1
122,69.14,68.93,0
123,78.93,78.79,0
124,88.88,88.89,1
125,68.67,69.24,1
126,87.55,87.63,1
127,70.04,70.01,0
128,91.8,91.78,0
129,84.07,84.05,0
130,91.37,91.35,0
131,80.11,79.7,0
132,85.21,84.67,0
133,68.84,68.31,0
134,56.16,56.7,1
135,57.08,56.89,0
136,71.29,71.54,1
137,69.76,69.64,0
138,58.36,58.38,1
139,86.81,87.14,1
140,70.02,69.87,0
141,86.18,86.28,1
142,84.73,84.86,1
143,56.54,56.52,0
144,86,85.73,0
145,84,83.46,0
146,56.17,56.55,1
147,62.27,62.32,1
148,64.12,64.74,1
149,72.2,72.27,1
150,85.79,86.07,1
151,63.1,62.69,0
152,83.66,83.45,0
153,65.75,65.92,1
154,68.91,68.84,0
155,88.93,89.11,1
156,69.97,70.17,1
157,68.59,68.53,0
158,70.64,69.66,0
159,70.16,69.76,0
160,91.34,91.19,0
161,79.85,79.77,0
162,82.6,82.98,1
163,57.51,57.57,1
164,65.83,65.92,1
165,82.27,82.6,1
166,82.41,82.35,0
167,83.64,84.01,1
168,70.22,69.74,0
169,77.1,76.63,0
170,70.21,70.43,1
171,69.53,69.44,0
172,85.86,85.87,1
173,62.64,62.39,0
174,77.05,77.33,1
175,84.07,83.85,0
176,91.81,92.2,1
177,87.58,87.55,0
178,65.24,65.7,1
179,83.56,83.06,0
180,59.97,60.16,1
181,73.91,74.06,1
182,58.45,57.82,0
183,85.21,85.65,1
184,84.8,85.04,1
185,84.29,84.38,1
186,80.09,80.2,1
187,84.67,85.39,1
188,69.3,69.53,1
189,76.41,76.62,1
190,66.41,66.52,1
191,70.04,69.41,0
192,66.21,66.4,1
193,64.26,63.57,0
194,70.85,70.66,0
195,72.96,73,1
196,59.12,59.78,1
197,74.4,74.28,0
198,89.96,89.9,0
199,66.84,67.36,1
200,86.2,86.03,0
201,89.04,89,0
202,87.14,87.2,1
203,73.32,73.38,1
204,57.63,58.25,1
205,64.72,64.74,1
206,56.52,57.12,1
207,77.97,78.22,1
208,63.72,64.13,1
209,92.41,92.6,1
210,93.69,93.36,0
211,66.19,66.21,1
212,63.06,62.27,0
213,67.85,68.28,1
214,72.27,72.3,1
215,58.95,58.54,0
216,79.7,79.46,0
217,86.74,86.86,1
218,91.65,92.01,1
219,79.97,80.4,1
220,84.3,84.75,1
221,90.27,90.1,0
222,91.19,91.38,1
223,78.64,79.14,1
224,83.1,83.45,1
225,90.08,89.81,0
226,63.82,63.59,0
227,85.24,84.96,0
228,65.17,64.26,0
229,91.88,92.02,1
230,84.42,83.55,0
231,60.62,59.47,0
232,92.08,91.65,0
233,81.6,82.41,1
234,62.96,63.1,1
235,84.58,85.2,1
236,80.4,80.81,1
237,57.27,57.08,0
238,59.01,59.37,1
239,74.01,73.83,0
240,87,86.95,0
241,69.7,69.65,0
242,87.84,88.42,1
243,72.13,71.7,0
244,68.26,68.54,1
245,72.64,73,1
246,59.58,59.55,0
247,72.85,72.7,0
248,73.23,73.66,1
249,74.28,73.81,0
250,79.75,79.7,0
251,65.47,65.01,0
252,82.17,82.41,1
253,82.87,83.05,1
254,91.5,91.21,0
255,74.56,75.02,1
256,84.33,84.15,0
257,86.95,87.24,1
258,80.55,80.5,0
259,85.46,85.79,1
260,92.55,92.63,1
261,72.3,72.83,1
262,86.9,87.21,1
263,85.63,84.55,0
264,85.23,85.19,0
265,76.36,76.64,1
266,81.1,80.72,0
267,57.45,56.63,0
268,92.43,92.18,0
269,91.67,92.2,1
270,90.02,89.96,0
271,86.84,86.2,0
272,91.78,91.94,1
273,68.92,68.89,0
274,83.86,83.89,1
275,89.86,90.02,1
276,70.58,70.48,0
277,71.49,71.44,0
278,52.45,52.32,0
279,77.8,77.97,1
280,85.54,86.17,1
281,65.67,65.91,1
282,70.8,70.69,0
283,86.03,86.2,1
284,89.55,89.94,1
285,73.62,73.8,1
286,69.94,70.22,1
287,80.79,80.89,1
288,86.22,86.18,0
289,89.66,89.55,0
