,Precio,VN,PXQ,Dia,Mes,Año,Hora,Min,Segundo,Variac c resp a precio operado anterior
684, 12.00 ," 5,000.00 "," 60,000.00 ",11,8,2017,15,20,37, -   
685, 12.00 ," 1,000.00 "," 12,000.00 ",11,8,2017,15,20,37, -   
686, 12.00 , 700.00 ," 8,400.00 ",11,8,2017,15,20,37, -   
687, 12.00 ," 1,250.00 "," 15,000.00 ",11,8,2017,15,20,59, -   
688, 12.00 , 750.00 ," 9,000.00 ",11,8,2017,15,21,5, -   
689, 11.95 ," 2,000.00 "," 23,900.00 ",11,8,2017,15,22,34, (0.004167)
690, 11.95 , 143.00 ," 1,708.85 ",11,8,2017,15,22,34, -   
691, 11.95 , 140.00 ," 1,673.00 ",11,8,2017,15,25,5, -   
692, 12.00 , 26.00 , 312.00 ,11,8,2017,15,26,3, 0.004184 
693, 12.00 ," 1,000.00 "," 12,000.00 ",11,8,2017,15,28,58, -   
694, 12.00 , 859.00 ," 10,308.00 ",11,8,2017,15,29,39, -   
695, 11.95 , 583.00 ," 6,966.85 ",11,8,2017,15,32,7, (0.004167)
696, 11.95 ," 1,717.00 "," 20,518.15 ",11,8,2017,15,32,7, -   
697, 11.95 ," 1,700.00 "," 20,315.00 ",11,8,2017,15,37,20, -   
698, 11.95 ," 2,175.00 "," 25,991.25 ",11,8,2017,15,46,1, -   
699, 11.95 ," 3,000.00 "," 35,850.00 ",11,8,2017,15,46,1, -   
700, 12.00 , 26.00 , 312.00 ,11,8,2017,15,49,4, 0.004184 
701, 12.00 ," 2,500.00 "," 30,000.00 ",11,8,2017,15,51,57, -   
702, 11.95 ," 1,500.00 "," 17,925.00 ",11,8,2017,15,53,54, (0.004167)
