,Open,Open t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
143,13.18,12.92,12.81,25200,67110,1
144,13.33,13.18,13.33,73200,67155,0
145,13.49,12.87,13.18,919900,68256,0
146,12.87,13.07,12.92,78400,71089,1
147,12.92,12.87,12.92,202500,71274,0
148,12.87,12.76,12.81,199200,72016,0
149,12.92,12.92,12.92,109800,74764,0
150,13.23,13.28,13.18,61200,75021,1
151,14.63,14.37,14.42,53100,75761,0
152,14.16,14.16,14.11,63800,76358,0
153,13.85,14.11,14.01,40900,76359,0
154,14.11,13.85,14.01,134100,76382,1
155,14.21,13.85,13.85,53600,77094,1
156,14.84,14.21,14.53,296000,77248,1
157,17.69,17.84,17.69,494600,80780,0
158,18.36,18.47,18.26,86400,81674,0
159,18.36,18.36,18.36,63600,81771,0
160,18.16,18.21,18.21,71700,82026,0
161,17.84,17.48,17.79,1205200,83935,0
162,17.53,17.84,17.64,57400,83941,0
163,16.91,17.64,17.01,126200,83931,1
164,17.74,17.59,17.59,39200,84000,0
165,16.65,16.5,16.55,277800,84463,0
166,16.55,16.5,16.55,59400,84369,0
167,17.01,16.91,16.96,68400,84535,1
168,17.79,17.48,17.74,76300,84921,1
169,17.84,17.84,17.79,168800,85526,1
170,18.05,17.64,18.05,138400,86247,0
171,17.38,17.84,17.53,183800,87750,1
172,17.95,17.79,17.84,389200,88632,1
173,20.13,19.5,20.13,353400,89956,0
174,20.23,20.18,20.13,50200,90126,0
175,20.33,20.39,20.33,58600,90230,0
176,19.92,19.82,19.97,66700,90256,0
177,19.45,19.71,19.56,194100,90282,0
178,19.4,19.45,19.4,77000,90414,1
179,21.42,21.42,21.27,562500,94667,0
180,21.11,21.42,21.22,259900,94886,0
181,20.44,20.49,20.54,215100,96829,0
182,20.23,20.23,20.23,86600,96853,0
183,20.18,20.23,20.23,45200,96822,1
184,18.67,18.42,18.67,113400,99560,1
185,19.35,19.56,19.3,157300,99814,0
186,18.67,18.83,18.62,91000,100079,0
187,18.21,18.36,18.21,213700,100186,0
188,18.26,18.21,18.21,103000,100179,0
189,17.22,17.01,17.12,99900,100406,1
190,17.43,17.53,17.43,64500,100443,1
191,17.79,17.69,17.59,131200,100534,1
192,18.21,18.21,18.21,101400,100478,0
193,18.1,18,18.05,126000,100411,1
194,18.36,18.36,18.31,117000,101021,0
195,16.96,17.27,16.91,77500,101033,1
196,17.01,16.96,17.01,82000,101014,1
197,20.75,19.71,20.75,1128300,101850,0
198,19.71,20.08,19.66,234300,101996,0
199,19.3,19.71,19.19,250000,102150,0
200,19.97,19.76,19.87,103000,102971,0
201,19.4,19.45,19.5,51700,103170,1
202,19.3,19.3,19.19,141300,103194,1
203,20.02,19.87,19.97,87600,104217,1
204,20.39,20.02,20.39,172200,104342,1
205,21.06,20.85,20.96,87100,104464,0
206,20.49,20.49,20.49,154200,104450,0
207,20.7,20.44,20.75,139900,104557,1
208,21.48,21.01,21.32,372400,106365,1
209,21.48,21.58,21.37,332700,107764,0
210,22.15,22.15,22.1,109800,108430,0
211,21.79,21.58,21.68,76500,108855,0
212,21.63,21.79,21.68,103000,108880,1
213,22.15,21.94,22.05,239400,108849,0
214,23.29,22.98,23.19,246400,109328,0
215,23.66,23.45,23.66,114100,109457,1
216,23.55,23.71,23.55,101400,109488,1
217,24.02,23.86,23.97,137500,109643,1
218,23.55,24.02,23.71,87100,109592,0
219,23.4,24.17,23.5,357000,109985,1
220,23.71,23.4,23.81,189100,110041,0
221,24.28,24.28,24.23,103500,110057,0
222,24.59,24.59,24.69,205900,110176,0
223,23.24,22.93,23.14,93000,111754,0
224,23.03,23.24,23.14,133400,111768,1
225,25.32,25,25.26,748500,117379,0
226,26.77,26.66,26.77,532400,118484,1
227,27.39,27.81,27.49,152200,118792,0
228,27.86,27.49,27.91,339400,119099,1
229,31.96,31.8,32.11,486700,120875,0
230,31.7,31.64,31.59,249300,120935,1
231,31.23,31.54,31.23,285700,121361,1
232,32.01,31.75,31.8,366200,122096,0
233,31.54,32.01,31.54,189100,122120,0
234,29.05,30.19,29.57,214900,122343,0
235,29.1,29.05,29.05,430500,122477,1
236,29.88,29.78,29.78,127200,123118,0
237,28.64,28.84,28.58,131700,123835,1
238,30.4,29.15,30.09,216800,124104,1
239,31.13,30.81,31.13,144200,124124,0
240,31.07,30.61,31.13,168300,124336,1
241,31.49,31.07,31.38,240400,124354,0
242,31.44,31.49,31.54,128400,125029,1
243,31.8,31.96,31.8,113800,125726,0
244,37.09,37.87,37.09,260100,128454,0
245,36.21,36.11,36.31,153700,128561,1
246,33.04,32.89,33.04,270800,129388,1
247,33.41,34.55,33.62,288600,129760,1
248,36.78,35.53,36.73,271500,130593,0
249,36.31,35.79,36.62,340200,132418,1
250,35.85,36.11,35.95,105200,132667,1
251,35.43,35.74,35.43,620600,133092,0
252,37.45,37.09,37.66,525000,134073,1
253,37.82,37.97,37.92,278500,134581,0
254,42.9,43.52,42.9,140600,137245,1
255,43.78,44.15,43.89,203200,137397,1
256,41.66,41.97,41.55,707600,138058,0
257,40.05,39.84,39.22,815800,139152,0
