,Precio,VN,PXQ,Hora,Min,Segundo,Mayor,Menor,Igual,Variac c resp a precio operado anterior
101,11.55,123,"1,420.65",13,1,40,0,0,1,0
102,11.55,"2,000.00","23,100.00",13,5,31,0,0,1,0
103,11.55,500,"5,775.00",13,6,37,0,0,1,0
104,11.55,290,"3,349.50",13,10,43,0,0,1,0
105,11.55,"2,500.00","28,875.00",13,10,43,0,0,1,0
106,11.55,500,"5,775.00",13,10,43,0,0,1,0
107,11.55,"2,000.00","23,100.00",13,10,43,0,0,1,0
108,11.6,944,"10,950.40",13,10,50,1,0,0,1
109,11.6,56,649.6,13,10,50,0,0,1,0
110,11.55,"1,777.00","20,524.35",13,11,20,0,1,0,-1
111,11.6,400,"4,640.00",13,11,43,1,0,0,1
112,11.6,840,"9,744.00",13,12,9,0,0,1,0
113,11.6,331,"3,839.60",13,12,41,0,0,1,0
114,11.6,"1,880.00","21,808.00",13,15,10,0,0,1,0
115,11.6,200,"2,320.00",13,15,25,0,0,1,0
116,11.6,"3,405.00","39,498.00",13,17,27,0,0,1,0
117,11.6,"1,343.00","15,578.80",13,17,27,0,0,1,0
118,11.6,"1,157.00","13,421.20",13,17,32,0,0,1,0
119,11.6,"1,143.00","13,258.80",13,17,32,0,0,1,0
120,11.6,577,"6,693.20",13,17,51,0,0,1,0
121,11.6,"1,850.00","21,460.00",13,21,17,0,0,1,0
122,11.6,"5,000.00","58,000.00",13,23,0,0,0,1,0
123,11.65,"3,000.00","34,950.00",13,30,33,1,0,0,1
124,11.65,"1,800.00","20,970.00",13,35,9,0,0,1,0
125,11.65,"1,000.00","11,650.00",13,35,9,0,0,1,0
126,11.65,"2,500.00","29,125.00",13,35,9,0,0,1,0
127,11.65,"2,440.00","28,426.00",13,35,9,0,0,1,0
128,11.65,"2,000.00","23,300.00",13,35,9,0,0,1,0
129,11.65,"1,000.00","11,650.00",13,36,14,0,0,1,0
130,11.7,"2,500.00","29,250.00",13,39,44,1,0,0,1
131,11.7,500,"5,850.00",13,39,44,0,0,1,0
132,11.7,854,"9,991.80",13,43,15,0,0,1,0
133,11.7,"2,000.00","23,400.00",13,43,53,0,0,1,0
134,11.7,386,"4,516.20",13,43,53,0,0,1,0
135,11.7,890,"10,413.00",13,44,0,0,0,1,0
136,11.7,"2,500.00","29,250.00",13,44,4,0,0,1,0
137,11.75,"1,000.00","11,750.00",13,47,14,1,0,0,1
138,11.7,"2,000.00","23,400.00",13,48,25,0,1,0,-1
139,11.7,224,"2,620.80",13,49,7,0,0,1,0
140,11.7,"1,939.00","22,686.30",13,49,48,0,0,1,0
141,11.7,404,"4,726.80",13,49,59,0,0,1,0
142,11.7,"2,657.00","31,086.90",13,50,54,0,0,1,0
143,11.7,"3,055.00","35,743.50",13,51,48,0,0,1,0
144,11.7,"1,945.00","22,756.50",13,52,45,0,0,1,0
145,11.7,"2,223.00","26,009.10",13,54,38,0,0,1,0
146,11.7,854,"9,991.80",13,55,6,0,0,1,0
147,11.7,"1,500.00","17,550.00",13,55,58,0,0,1,0
148,11.7,400,"4,680.00",13,56,10,0,0,1,0
149,11.7,23,269.1,13,56,13,0,0,1,0
150,11.65,200,"2,330.00",13,56,42,0,1,0,-1
151,11.75,89,"1,045.75",13,56,48,1,0,0,1
152,11.7,500,"5,850.00",13,58,55,0,1,0,-1
153,11.7,500,"5,850.00",13,59,10,0,0,1,0
154,11.75,100,"1,175.00",13,59,35,1,0,0,1
155,11.75,"3,700.00","43,475.00",13,59,35,0,0,1,0
156,11.75,300,"3,525.00",13,59,35,0,0,1,0
157,11.75,900,"10,575.00",13,59,35,0,0,1,0
158,11.75,"1,600.00","18,800.00",13,59,44,0,0,1,0
159,11.8,"2,400.00","28,320.00",13,59,44,1,0,0,1
160,11.8,"1,000.00","11,800.00",14,0,23,0,0,1,0
161,11.8,130,"1,534.00",14,0,31,0,0,1,0
162,11.8,"6,470.00","76,346.00",14,0,32,0,0,1,0
163,11.8,"2,500.00","29,500.00",14,0,32,0,0,1,0
164,11.8,"1,030.00","12,154.00",14,0,32,0,0,1,0
165,11.8,"6,880.00","81,184.00",14,0,41,0,0,1,0
166,11.9,"1,000.00","11,900.00",14,1,0,1,0,0,1
167,11.95,"2,000.00","23,900.00",14,1,40,1,0,0,1
168,11.9,"1,000.00","11,900.00",14,1,49,0,1,0,-1
169,11.9,"2,000.00","23,800.00",14,2,56,0,0,1,0
170,11.9,"1,500.00","17,850.00",14,3,6,0,0,1,0
171,11.9,420,"4,998.00",14,3,8,0,0,1,0
172,11.95,"2,000.00","23,900.00",14,3,13,1,0,0,1
173,11.95,"1,666.00","19,908.70",14,3,57,0,0,1,0
174,11.95,334,"3,991.30",14,4,0,0,0,1,0
175,11.9,420,"4,998.00",14,4,25,0,1,0,-1
176,11.9,"1,008.00","11,995.20",14,4,25,0,0,1,0
177,11.9,"1,580.00","18,802.00",14,4,25,0,0,1,0
178,11.85,10,118.5,14,4,54,0,1,0,-1
179,11.85,"1,802.00","21,353.70",14,6,21,0,0,1,0
180,11.85,"3,000.00","35,550.00",14,6,33,0,0,1,0
181,11.9,"2,760.00","32,844.00",14,7,2,1,0,0,1
182,11.85,251,"2,974.35",14,7,42,0,1,0,-1
183,11.9,830,"9,877.00",14,10,15,1,0,0,1
184,11.9,"2,600.00","30,940.00",14,10,43,0,0,1,0
185,11.9,"1,410.00","16,779.00",14,10,43,0,0,1,0
186,11.9,500,"5,950.00",14,10,43,0,0,1,0
187,11.9,"2,400.00","28,560.00",14,10,47,0,0,1,0
188,11.9,168,"1,999.20",14,10,47,0,0,1,0
189,11.95,"1,120.00","13,384.00",14,10,52,1,0,0,1
190,11.95,"2,000.00","23,900.00",14,10,52,0,0,1,0
191,11.95,"1,680.00","20,076.00",14,11,32,0,0,1,0
192,11.95,"2,000.00","23,900.00",14,11,32,0,0,1,0
193,11.95,"2,000.00","23,900.00",14,11,33,0,0,1,0
194,11.95,"2,000.00","23,900.00",14,11,33,0,0,1,0
195,12,"1,571.00","18,852.00",14,11,33,1,0,0,1
196,12,500,"6,000.00",14,11,33,0,0,1,0
197,12,"2,000.00","24,000.00",14,11,33,0,0,1,0
198,12,263,"3,156.00",14,11,33,0,0,1,0
199,12,"5,000.00","60,000.00",14,11,33,0,0,1,0
200,12,"1,000.00","12,000.00",14,11,33,0,0,1,0
201,12,"1,000.00","12,000.00",14,11,33,0,0,1,0
202,12,922,"11,064.00",14,11,33,0,0,1,0
203,12,"2,500.00","30,000.00",14,11,33,0,0,1,0
204,12,"5,000.00","60,000.00",14,11,33,0,0,1,0
205,12,"3,744.00","44,928.00",14,11,48,0,0,1,0
206,11.9,"2,432.00","28,940.80",14,14,38,0,1,0,-1
207,11.95,400,"4,780.00",14,15,25,1,0,0,1
208,11.95,436,"5,210.20",14,15,25,0,0,1,0
209,11.9,"3,500.00","41,650.00",14,16,51,0,1,0,-1
210,11.95,500,"5,975.00",14,17,40,1,0,0,1
211,11.95,164,"1,959.80",14,17,40,0,0,1,0
212,11.95,"2,500.00","29,875.00",14,20,41,0,0,1,0
