,año,mes,dia,Open,High,Low,Close,Volume,open vs close T-1,Close mayor a open =1
0,1977,2,16,16.184999,16.236876,16.081249,16.184999,25200,0,0
1,1977,4,29,16.444374,16.548124,16.3925,16.49625,34200,0,1
2,1977,7,29,16.963125,17.066875,16.755625,16.859375,34400,0,0
3,1977,8,9,17.11875,17.170626,16.859375,16.859375,19200,0,0
4,1977,8,10,16.859375,17.11875,16.859375,17.11875,17200,0,1
5,1977,8,31,16.28875,16.444374,16.28875,16.444374,26400,0,1
6,1977,10,13,16.133125,16.133125,15.925625,15.925625,31000,-0.051874,0
7,1978,1,4,16.081249,16.081249,15.925625,15.925625,9600,-0.051876,0
8,1978,1,17,15.095625,15.25125,15.04375,15.1475,14800,0,1
9,1978,3,23,14.62875,14.680625,14.62875,14.680625,34900,0,1
10,1978,7,18,17.2225,17.2225,17.066875,17.170626,15100,0,0
11,1978,7,28,17.378124,17.43,17.32625,17.43,25400,0,1
12,1978,7,31,17.43,17.481874,17.32625,17.378124,23700,0,0
13,1978,9,14,17.32625,17.32625,17.066875,17.170626,23500,0,0
14,1978,9,18,16.911249,17.066875,16.651875,16.651875,24200,0,0
15,1978,9,22,16.184999,16.236876,16.029375,16.184999,14800,0,0
16,1978,10,3,16.081249,16.340626,16.081249,16.133125,15300,0,1
17,1979,2,2,15.199375,15.303125,15.1475,15.1475,34200,0,0
18,1979,2,7,15.04375,15.1475,14.94,14.991875,35400,0,0
19,1979,2,21,14.83625,14.83625,14.62875,14.680625,26400,0,0
20,1979,2,26,14.576875,14.680625,14.3175,14.473125,23500,0,0
21,1979,4,9,15.9775,16.081249,15.66625,15.66625,47400,0,0
22,1979,7,13,16.963125,16.963125,16.859375,16.963125,34200,0,0
23,1979,10,10,15.45875,15.45875,14.83625,14.83625,40200,-0.10375,0
24,1979,10,16,14.83625,14.94,14.62875,14.62875,22000,0,0
25,1979,10,19,14.62875,14.7325,14.62875,14.7325,19600,0,1
26,1979,11,15,14.473125,14.576875,14.42125,14.473125,15100,0,0
