" ,PRECIO,VN,PxQ "
" 12387,13,100,1300 "
" 12388,12.9,84,1083.6 "
" 12389,12.9,116,1496.4 "
" 12390,12.8,1839,23539.2 "
" 12391,12.8,161,2060.8 "
" 12392,12.8,561,7180.8 "
" 12393,12.8,1000,12800 "
" 12394,12.8,400,5120 "
" 12395,12.8,100,1280 "
" 12396,12.8,500,6400 "
" 12397,12.8,216,2764.8 "
" 12398,12.8,284,3635.2 "
" 12399,12.8,64,819.2 "
" 12400,12.8,436,5580.8 "
" 12401,12.8,500,6400 "
" 12402,12.8,500,6400 "
" 12403,12.8,500,6400 "
" 12404,12.8,500,6400 "
" 12405,12.8,500,6400 "
" 12406,12.8,64,819.2 "
" 12407,12.8,436,5580.8 "
" 12408,12.7,170,2159 "
" 12409,12.8,77,985.6 "
" 12410,12.8,1761,22540.8 "
" 12411,12.8,51,652.8 "
" 12412,12.8,188,2406.4 "
" 12413,12.8,976,12492.8 "
" 12414,12.9,300,3870 "
" 12415,13,200,2600 "
" 12416,12.8,82,1049.6 "
" 12417,12.85,500,6425 "
" 12418,12.8,1942,24857.6 "
" 12419,12.8,378,4838.4 "
" 12420,13,500,6500 "
" 12421,13,500,6500 "
" 12422,13,300,3900 "
" 12423,13,200,2600 "
" 12424,13,70,910 "
" 12425,13,430,5590 "
" 12426,13,70,910 "
" 12427,13,500,6500 "
" 12428,13,300,3900 "
" 12429,13,1130,14690 "
" 12430,13,370,4810 "
" 12431,13,1000,13000 "
" 12432,13,130,1690 "
" 12433,13,403,5239 "
" 12434,13,97,1261 "
" 12435,13,218,2834 "
" 12436,13,282,3666 "
" 12437,13,500,6500 "
" 12438,13,718,9334 "
" 12439,13,4282,55666 "
" 12440,13,1217,15821 "
" 12441,13,783,10179 "
" 12442,13,5000,65000 "
" 12443,13,217,2821 "
" 12444,13.05,762,9944.1 "
" 12445,13.1,1000,13100 "
" 12446,13.1,500,6550 "
" 12447,13.1,120,1572 "
" 12448,13.1,380,4978 "
" 12449,13.1,500,6550 "
" 12450,13.1,500,6550 "
" 12451,13.1,620,8122 "
" 12452,13.25,1176,15582 "
" 12453,13.25,401,5313.25 "
" 12454,13.25,599,7936.75 "
" 12455,13.3,171,2274.3 "
" 12456,13.3,1829,24325.7 "
" 12457,13.45,500,6725 "
" 12458,13.45,300,4035 "
" 12459,13.45,1029,13840.05 "
" 12460,13.45,1000,13450 "
" 12461,13.5,298,4023 "
" 12462,13.5,728,9828 "
" 12463,13.3,1700,22610 "
" 12464,13.3,1300,17290 "
" 12465,13.2,3000,39600 "
" 12466,13.35,305,4071.75 "
" 12467,13.35,90,1201.5 "
" 12468,13.25,500,6625 "
" 12469,13.25,1750,23187.5 "
" 12470,13.25,22,291.5 "
" 12471,13.25,100,1325 "
" 12472,13.25,167,2212.75 "
" 12473,13.1,916,11999.6 "
" 12474,13.4,1055,14137 "
" 12475,13.4,150,2010 "
" 12476,13.3,1560,20748 "
" 12477,13.3,440,5852 "
" 12478,13.3,860,11438 "
" 12479,13.3,1140,15162 "
" 12480,13.3,1655,22011.5 "
" 12481,13.3,345,4588.5 "
" 12482,13.3,345,4588.5 "
" 12483,13.3,1655,22011.5 "
" 12484,13.3,139,1848.7 "
" 12485,13.3,1861,24751.3 "
" 12486,13.5,250,3375 "
" 12487,13.4,11,147.4 "
" 12488,13.5,2889,39001.5 "
" 12489,13.7,1055,14453.5 "
" 12490,13.7,945,12946.5 "
" 12491,13.7,3000,41100 "
" 12492,13.7,11,150.7 "
" 12493,13.5,80,1080 "
" 12494,13.5,809,10921.5 "
" 12495,13.5,111,1498.5 "
" 12496,13.5,2809,37921.5 "
" 12497,13.5,1191,16078.5 "
" 12498,13.5,191,2578.5 "
" 12499,13.5,3000,40500 "
" 12500,13.5,1000,13500 "
" 12501,13.6,150,2040 "
" 12502,13.6,86,1169.6 "
" 12503,13.6,628,8540.8 "
" 12504,13.7,1989,27249.3 "
" 12505,13.9,140,1946 "
" 12506,13.7,1000,13700 "
" 12507,13.8,724,9991.2 "
" 12508,13.8,276,3808.8 "
" 12509,13.8,4724,65191.2 "
" 12510,13.7,5703,78131.1 "
" 12511,13.7,1308,17919.6 "
" 12512,13.5,3692,49842 "
" 12513,13.5,1308,17658 "
" 12514,13.3,2000,26600 "
" 12515,13.5,2184,29484 "
" 12516,13.55,3000,40650 "
" 12517,13.5,1000,13500 "
" 12518,13.5,4500,60750 "
" 12519,13.5,1316,17766 "
" 12520,13.5,3001,40513.5 "
" 12521,13.65,33,450.45 "
" 12522,13.55,1500,20325 "
" 12523,13.5,500,6750 "
" 12524,13.5,5000,67500 "
" 12525,13.5,11499,155236.5 "
" 12526,14,1446,20244 "
" 12527,14,500,7000 "
" 12528,14.05,3054,42908.7 "
" 12529,14.05,946,13291.3 "
" 12530,14.05,4074,57239.7 "
" 12531,14,136,1904 "
" 12532,14,2918,40852 "
" 12533,14,2000,28000 "
" 12534,14,2000,28000 "
" 12535,14,1000,14000 "
" 12536,14.3,5,71.5 "
" 12537,14,500,7000 "
" 12538,14,1300,18200 "
" 12539,14,3000,42000 "
" 12540,14.05,6500,91325 "
" 12541,14,700,9800 "
" 12542,14,464,6496 "
" 12543,14,4636,64904 "
" 12544,14.2,5000,71000 "
" 12545,14.2,250,3550 "
" 12546,14.2,3154,44786.8 "
" 12547,14.3,620,8866 "
" 12548,14.3,367,5248.1 "
" 12549,14.2,2151,30544.2 "
" 12550,14.7,150,2205 "
" 12551,14.7,52,764.4 "
" 12552,14.5,1000,14500 "
" 12553,14.5,1000,14500 "
" 12554,14.35,1000,14350 "
" 12555,14.5,115,1667.5 "
" 12556,14.5,234,3393 "
" 12557,14.5,400,5800 "
" 12558,14.5,251,3639.5 "
" 12559,14.5,66,957 "
" 12560,14.5,934,13543 "
" 12561,14.5,598,8671 "
" 12562,14.5,468,6786 "
" 12563,14.35,500,7175 "
" 12564,14.35,500,7175 "
" 12565,14.35,217,3113.95 "
" 12566,14.35,1000,14350 "
" 12567,14.35,1000,14350 "
" 12568,14.35,1000,14350 "
" 12569,14.35,1500,21525 "
" 12570,14.35,1500,21525 "
" 12571,14.35,1478,21209.3 "
" 12572,14.35,22,315.7 "
" 12573,14.35,1500,21525 "
" 12574,14.35,1500,21525 "
" 12575,14.35,500,7175 "
" 12576,14.35,1500,21525 "
" 12577,14.35,1500,21525 "
" 12578,14.35,1500,21525 "
" 12579,14.2,1000,14200 "
" 12580,14.2,766,10877.2 "
" 12581,14.35,1000,14350 "
" 12582,14.35,20,287 "
" 12583,14.35,454,6514.9 "
" 12584,14.35,1121,16086.35 "
" 12585,14.35,245,3515.75 "
" 12586,14.8,240,3552 "
" 12587,14.7,400,5880 "
" 12588,14.7,1100,16170 "
" 12589,14.7,300,4410 "
" 12590,14.7,332,4880.4 "
" 12591,14.7,1500,22050 "
" 12592,14.6,1987,29010.2 "
" 12593,14.6,13,189.8 "
" 12594,14.7,987,14508.9 "
" 12595,14.7,500,7350 "
" 12596,14.7,381,5600.7 "
" 12597,14.7,119,1749.3 "
" 12598,14.5,100,1450 "
" 12599,14.6,1000,14600 "
" 12600,14.6,1150,16790 "
" 12601,14.7,1881,27650.7 "
" 12602,14.7,2000,29400 "
" 12603,14.7,2000,29400 "
" 12604,14,320,4480 "
" 12605,14,700,9800 "
" 12606,14,5000,70000 "
" 12607,14,280,3920 "
" 12608,14,300,4200 "
" 12609,14,221,3094 "
" 12610,14.05,8782,123387.1 "
" 12611,14.1,300,4230 "
" 12612,14.1,173,2439.3 "
" 12613,14.1,427,6020.7 "
" 12614,14,5479,76706 "
" 12615,14,1000,14000 "
" 12616,13.75,1000,13750 "
" 12617,13.7,500,6850 "
" 12618,13.75,672,9240 "
" 12619,14.1,1000,14100 "
" 12620,14.1,500,7050 "
" 12621,14,6000,84000 "
" 12622,14,73,1022 "
" 12623,14,5000,70000 "
" 12624,14,1000,14000 "
" 12625,14,500,7000 "
" 12626,13.95,300,4185 "
" 12627,14,4700,65800 "
" 12628,13.9,3957,55002.3 "
" 12629,13.9,1000,13900 "
" 12630,13.9,43,597.7 "
" 12631,13.95,5000,69750 "
" 12632,13.95,1000,13950 "
" 12633,14,1000,14000 "
" 12634,14,1727,24178 "
" 12635,14,3273,45822 "
" 12636,14,285,3990 "
" 12637,13.9,9,125.1 "
" 12638,13.9,1495,20780.5 "
" 12639,13.9,3400,47260 "
" 12640,14,96,1344 "
" 12641,14,1346,18844 "
" 12642,14,400,5600 "
" 12643,14.1,73,1029.3 "
" 12644,14,500,7000 "
" 12645,14,3028,42392 "
" 12646,14,726,10164 "
" 12647,13.9,160,2224 "
" 12648,13.5,600,8100 "
" 12649,13.5,400,5400 "
" 12650,13.5,2500,33750 "
" 12651,13.7,1215,16645.5 "
" 12652,13.9,2005,27869.5 "
" 12653,13.9,978,13594.2 "
" 12654,14,10000,140000 "
" 12655,14.25,2,28.5 "
" 12656,13.7,2498,34222.6 "
" 12657,13.7,220,3014 "
" 12658,13.6,3000,40800 "
" 12659,13.6,1780,24208 "
" 12660,13.75,2500,34375 "
" 12661,13.8,1780,24564 "
" 12662,13.75,3220,44275 "
" 12663,13.8,1000,13800 "
" 12664,13.8,480,6624 "
" 12665,13.8,540,7452 "
" 12666,13.8,862,11895.6 "
" 12667,13.8,1860,25668 "
" 12668,13.8,778,10736.4 "
" 12669,13.75,1722,23677.5 "
" 12670,13.75,140,1925 "
" 12671,13.75,638,8772.5 "
" 12672,13.6,10000,136000 "
" 12673,13.6,630,8568 "
" 12674,13.6,280,3808 "
" 12675,13.6,7000,95200 "
" 12676,13.6,1000,13600 "
" 12677,13.6,1090,14824 "
" 12678,13.5,1000,13500 "
" 12679,13.5,5178,69903 "
" 12680,13.5,1000,13500 "
" 12681,13.5,5500,74250 "
" 12682,13.5,2322,31347 "
" 12683,13.5,5000,67500 "
" 12684,13.5,5000,67500 "
" 12685,13.4,436,5842.4 "
" 12686,13.5,101,1363.5 "
" 12687,13.55,2500,33875 "
" 12688,13.55,2500,33875 "
" 12689,13.55,2500,33875 "
" 12690,13.55,2500,33875 "
" 12691,13.6,1410,19176 "
" 12692,13.6,53,720.8 "
" 12693,13.4,2500,33500 "
" 12694,13.45,974,13100.3 "
" 12695,13.45,204,2743.8 "
" 12696,13.45,1000,13450 "
" 12697,13.45,50,672.5 "
" 12698,13.4,272,3644.8 "
" 12699,13.3,736,9788.8 "
" 12700,13.3,264,3511.2 "
" 12701,13.45,3764,50625.8 "
" 12702,13.3,1236,16438.8 "
" 12703,13.4,40,536 "
" 12704,13,560,7280 "
" 12705,13.45,146,1963.7 "
" 12706,13.45,100,1345 "
" 12707,13.45,754,10141.3 "
" 12708,13.45,500,6725 "
" 12709,13.45,398,5353.1 "
" 12710,13.35,1500,20025 "
" 12711,13.35,20,267 "
" 12712,13,384,4992 "
" 12713,13.15,1200,15780 "
" 12714,13.1,1893,24798.3 "
" 12715,13,3523,45799 "
" 12716,12.5,390,4875 "
" 12717,13.4,150,2010 "
" 12718,13.4,373,4998.2 "
" 12719,13.35,724,9665.4 "
" 12720,13.4,17,227.8 "
" 12721,13.4,804,10773.6 "
" 12722,13.45,580,7801 "
" 12723,13.45,3660,49227 "
" 12724,13.3,1450,19285 "
" 12725,13.3,550,7315 "
" 12726,12.8,200,2560 "
" 12727,13.15,2000,26300 "
" 12728,13,2000,26000 "
" 12729,13,234,3042 "
" 12730,13,3262,42406 "
" 12731,13,2000,26000 "
" 12732,13,888,11544 "
" 12733,13.15,1700,22355 "
" 12734,13,3000,39000 "
" 12735,13,616,8008 "
" 12736,13,524,6812 "
" 12737,13,1000,13000 "
" 12738,13,3476,45188 "
" 12739,13,5000,65000 "
" 12740,13,13269,172497 "
" 12741,13,10000,130000 "
" 12742,13,5000,65000 "
" 12743,13,5000,65000 "
" 12744,13,5000,65000 "
" 12745,13,847,11011 "
" 12746,13,5000,65000 "
" 12747,13,1120,14560 "
" 12748,13,3000,39000 "
" 12749,13.05,200,2610 "
" 12750,12.95,40,518 "
" 12751,12.75,15800,201450 "
" 12752,12.75,306,3901.5 "
" 12753,12.75,7800,99450 "
" 12754,12.75,1200,15300 "
" 12755,12.75,2000,25500 "
" 12756,12.75,306,3901.5 "
" 12757,12.75,3694,47098.5 "
" 12758,12.75,894,11398.5 "
" 12759,12.75,106,1351.5 "
" 12760,12.75,5000,63750 "
" 12761,12.75,194,2473.5 "
" 12762,12.75,1200,15300 "
" 12763,12.75,5000,63750 "
" 12764,12.75,800,10200 "
" 12765,12.75,230,2932.5 "
" 12766,12.5,267,3337.5 "
" 12767,12.5,1733,21662.5 "
" 12768,12.5,2000,25000 "
" 12769,12.5,3500,43750 "
" 12770,12.5,105,1312.5 "
" 12771,12.6,100,1260 "
" 12772,12.5,1500,18750 "
" 12773,12.5,111,1387.5 "
" 12774,12.4,1000,12400 "
" 12775,12.4,23216,287878.4 "
" 12776,12.4,1784,22121.6 "
" 12777,12.4,559,6931.6 "
" 12778,12.5,2663,33287.5 "
" 12779,12.5,2337,29212.5 "
" 12780,12.5,2000,25000 "
" 12781,12.4,663,8221.2 "
" 12782,12.4,562,6968.8 "
" 12783,12.4,438,5431.2 "
" 12784,12.65,150,1897.5 "
" 12785,12.65,5,63.25 "
" 12786,12.65,155,1960.75 "
" 12787,12.5,1135,14187.5 "
" 12788,12.5,3110,38875 "
" 12789,12.5,500,6250 "
" 12790,12.5,171,2137.5 "
" 12791,12.5,84,1050 "
" 12792,12.5,337,4212.5 "
" 12793,12.7,160,2032 "
" 12794,12.7,1000,12700 "
" 12795,12.5,1337,16712.5 "
" 12796,12.7,1663,21120.1 "
" 12797,12.7,4000,50800 "
" 12798,12.5,2000,25000 "
" 12799,12.5,225,2812.5 "
" 12800,12.4,2560,31744 "
" 12801,12.5,5000,62500 "
" 12802,12.5,620,7750 "
" 12803,12.6,500,6300 "
" 12804,12.6,2000,25200 "
" 12805,12.6,2000,25200 "
" 12806,12.6,500,6300 "
" 12807,12.6,1000,12600 "
" 12808,12.6,4000,50400 "
" 12809,12.45,5000,62250 "
" 12810,12.45,198,2465.1 "
" 12811,12.45,1190,14815.5 "
" 12812,12.45,1315,16371.75 "
" 12813,12.45,52,647.4 "
" 12814,12,1700,20400 "
" 12815,12.2,140,1708 "
" 12816,12.1,96,1161.6 "
" 12817,12.1,1795,21719.5 "
" 12818,12.1,885,10708.5 "
" 12819,12.1,1109,13418.9 "
" 12820,12.1,155,1875.5 "
" 12821,12.1,1000,12100 "
" 12822,12.1,300,3630 "
" 12823,12.1,1545,18694.5 "
" 12824,12,455,5460 "
" 12825,12,3000,36000 "
" 12826,12,500,6000 "
" 12827,12,1000,12000 "
" 12828,12,45,540 "
" 12829,12,1000,12000 "
" 12830,12,2800,33600 "
" 12831,12,278,3336 "
" 12832,11.8,5000,59000 "
" 12833,12,2000,24000 "
" 12834,12.15,540,6561 "
" 12835,12.15,2296,27896.4 "
" 12836,12.3,543,6678.9 "
" 12837,12.3,502,6174.6 "
" 12838,12.2,1874,22862.8 "
" 12839,12.3,4536,55792.8 "
" 12840,12.3,1464,18007.2 "
" 12841,12.3,2000,24600 "
" 12842,12.3,2000,24600 "
" 12843,12.3,1464,18007.2 "
" 12844,12.4,164,2033.6 "
" 12845,12.2,126,1537.2 "
" 12846,12.2,154,1878.8 "
" 12847,12.4,1216,15078.4 "
" 12848,12.3,1000,12300 "
" 12849,12.3,1000,12300 "
" 12850,12.3,1000,12300 "
" 12851,12.3,1000,12300 "
" 12852,12.4,3000,37200 "
" 12853,12.6,595,7497 "
" 12854,12.6,1722,21697.2 "
" 12855,12.3,309,3800.7 "
" 12856,12.55,1854,23267.7 "
" 12857,12.6,405,5103 "
" 12858,12.6,3000,37800 "
" 12859,12.75,591,7535.25 "
" 12860,12.8,595,7616 "
" 12861,12.8,3000,38400 "
" 12862,12.8,2000,25600 "
" 12863,12.75,1000,12750 "
" 12864,12.8,1000,12800 "
" 12865,12.8,1000,12800 "
" 12866,12.75,91,1160.25 "
" 12867,12.75,909,11589.75 "
" 12868,12.75,1000,12750 "
" 12869,12.75,84,1071 "
" 12870,12.75,1916,24429 "
" 12871,12.75,584,7446 "
" 12872,12.75,200,2550 "
" 12873,12.75,96,1224 "
" 12874,12.75,595,7586.25 "
" 12875,12.75,1000,12750 "
" 12876,12.85,1000,12850 "
" 12877,12.9,150,1935 "
" 12878,12.9,352,4540.8 "
" 12879,13.5,352,4752 "
" 12880,13.55,1000,13550 "
" 12881,13.65,2000,27300 "
" 12882,13.95,358,4994.1 "
" 12883,13.95,645,8997.75 "
" 12884,13.95,358,4994.1 "
" 12885,13.75,300,4125 "
" 12886,13.75,934,12842.5 "
" 12887,13.75,66,907.5 "
" 12888,13.75,200,2750 "
" 12889,13.7,120,1644 "
" 12890,13.95,573,7993.35 "
" 12891,13.9,1200,16680 "
" 12892,13.9,1000,13900 "
" 12893,13.9,573,7964.7 "
" 12894,13.95,66,920.7 "
" 12895,14,5000,70000 "
" 12896,13.95,1000,13950 "
" 12897,14,500,7000 "
" 12898,14.1,405,5710.5 "
" 12899,14.1,1560,21996 "
" 12900,14,1105,15470 "
" 12901,14,329,4606 "
" 12902,13.95,171,2385.45 "
" 12903,13.95,500,6975 "
" 12904,14.8,140,2072 "
" 12905,14.8,150,2220 "
" 12906,14.8,67,991.6 "
" 12907,14.6,342,4993.2 "
" 12908,14.5,2200,31900 "
" 12909,14.6,300,4380 "
" 12910,14.5,640,9280 "
" 12911,14.5,658,9541 "
" 12912,14.5,1560,22620 "
" 12913,14.5,2442,35409 "
" 12914,14.5,2500,36250 "
" 12915,14.5,137,1986.5 "
" 12916,14.3,2500,35750 "
" 12917,14.3,8420,120406 "
" 12918,14.3,699,9995.7 "
" 12919,14.3,101,1444.3 "
" 12920,14.3,399,5705.7 "
" 12921,14.3,1500,21450 "
" 12922,14.3,1601,22894.3 "
" 12923,14.3,899,12855.7 "
" 12924,14.1,1,14.1 "
" 12925,14.1,200,2820 "
" 12926,14.1,1226,17286.6 "
" 12927,14.35,10392,149125.2 "
" 12928,14.3,5161,73802.3 "
" 12929,14.3,1179,16859.7 "
" 12930,14.3,839,11997.7 "
" 12931,14.3,161,2302.3 "
" 12932,14.3,1000,14300 "
" 12933,14.3,2863,40940.9 "
" 12934,14.4,200,2880 "
" 12935,14.6,300,4380 "
" 12936,15,230,3450 "
" 12937,14.95,750,11212.5 "
" 12938,15,100,1500 "
" 12939,15,2000,30000 "
" 12940,15.05,332,4996.6 "
" 12941,15,18,270 "
" 12942,15.1,250,3775 "
" 12943,15,2013,30195 "
" 12944,15.15,250,3787.5 "
" 12945,15.25,200,3050 "
" 12946,15.2,250,3800 "
" 12947,15.25,260,3965 "
" 12948,15.25,50,762.5 "
" 12949,15.3,6188,94676.4 "
" 12950,15.25,12,183 "
" 12951,15.7,100,1570 "
" 12952,15.7,900,14130 "
" 12953,15.7,700,10990 "
" 12954,15.7,1900,29830 "
" 12955,15.7,100,1570 "
" 12956,15.5,427,6618.5 "
" 12957,15.5,200,3100 "
" 12958,15.6,500,7800 "
" 12959,15.7,300,4710 "
" 12960,15.7,1680,26376 "
" 12961,15.65,39,610.35 "
" 12962,15.75,79,1244.25 "
" 12963,15.65,405,6338.25 "
" 12964,15.65,196,3067.4 "
" 12965,15.65,80,1252 "
" 12966,15.6,640,9984 "
" 12967,15.5,258,3999 "
" 12968,15.3,927,14183.1 "
" 12969,15.3,898,13739.4 "
" 12970,15.25,206,3141.5 "
" 12971,15.5,760,11780 "
" 12972,15.25,50,762.5 "
" 12973,15.3,250,3825 "
" 12974,15.3,15,229.5 "
" 12975,16,135,2160 "
" 12976,16,130,2080 "
" 12977,16,620,9920 "
" 12978,16,181,2896 "
" 12979,16,69,1104 "
" 12980,16,241,3856 "
" 12981,15.75,2000,31500 "
" 12982,15.75,2000,31500 "
" 12983,15.75,2000,31500 "
" 12984,15.75,2000,31500 "
" 12985,15.75,1000,15750 "
" 12986,15.85,1500,23775 "
" 12987,15.6,500,7800 "
" 12988,15.6,250,3900 "
" 12989,15.6,313,4882.8 "
" 12990,16,91,1456 "
" 12991,16,111,1776 "
" 12992,16,1343,21488 "
" 12993,16,477,7632 "
" 12994,16,1725,27600 "
" 12995,16.05,100,1605 "
" 12996,16,3900,62400 "
" 12997,16,4375,70000 "
" 12998,16,93,1488 "
" 12999,15.75,244,3843 "
" 13000,15.6,250,3900 "
" 13001,15.6,5506,85893.6 "
" 13002,15.65,150,2347.5 "
" 13003,15.6,2850,44460 "
" 13004,15.95,124,1977.8 "
" 13005,15.6,644,10046.4 "
" 13006,15.5,356,5518 "
" 13007,15.5,224,3472 "
" 13008,15.5,500,7750 "
" 13009,16,312,4992 "
" 13010,15.5,1000,15500 "
" 13011,15.5,3000,46500 "
" 13012,15.5,1000,15500 "
" 13013,15.5,10000,155000 "
" 13014,15.5,774,11997 "
" 13015,15.3,100,1530 "
" 13016,15,400,6000 "
" 13017,15.05,16812,253020.6 "
" 13018,15.4,400,6160 "
" 13019,15.4,1760,27104 "
" 13020,15.4,3840,59136 "
" 13021,16.45,119,1957.55 "
" 13022,15.8,200,3160 "
" 13023,16,256,4096 "
" 13024,16,80,1280 "
" 13025,16,164,2624 "
" 13026,16,576,9216 "
" 13027,16,260,4160 "
" 13028,15.4,6188,95295.2 "
" 13029,14.8,2,29.6 "
" 13030,15.5,4585,71067.5 "
" 13031,15.5,75,1162.5 "
" 13032,15.5,832,12896 "
" 13033,15.45,300,4635 "
" 13034,15.45,466,7199.7 "
" 13035,15.45,800,12360 "
" 13036,15.45,264,4078.8 "
" 13037,15.45,264,4078.8 "
" 13038,15.45,236,3646.2 "
" 13039,15.45,736,11371.2 "
" 13040,15.45,264,4078.8 "
" 13041,15.45,100,1545 "
" 13042,15.45,1000,15450 "
" 13043,15.5,4000,62000 "
" 13044,15.45,336,5191.2 "
" 13045,15.3,500,7650 "
" 13046,15.25,147,2241.75 "
" 13047,15.25,443,6755.75 "
" 13048,15.45,57,880.65 "
" 13049,15.25,2005,30576.25 "
" 13050,15.3,16812,257223.6 "
" 13051,15.5,1350,20925 "
" 13052,15,333,4995 "
" 13053,15,2022,30330 "
" 13054,15.1,290,4379 "
" 13055,15.1,100,1510 "
" 13056,15.1,10,151 "
" 13057,14.8,125,1850 "
" 13058,14.6,7626,111339.6 "
" 13059,14.5,125,1812.5 "
" 13060,14.55,360,5238 "
" 13061,14.6,275,4015 "
" 13062,14.6,25,365 "
" 13063,14.6,426,6219.6 "
" 13064,14.7,2000,29400 "
" 13065,14.75,2000,29500 "
" 13066,14.75,2487,36683.25 "
" 13067,14.75,351,5177.25 "
" 13068,14.75,9,132.75 "
" 13069,14.8,187,2767.6 "
" 13070,15,300,4500 "
" 13071,15,1000,15000 "
" 13072,15,259,3885 "
" 13073,15,2443,36645 "
" 13074,15,557,8355 "
" 13075,15.1,308,4650.8 "
" 13076,15.3,135,2065.5 "
" 13077,15.3,129,1973.7 "
" 13078,15.3,404,6181.2 "
" 13079,15,533,7995 "
" 13080,15,832,12480 "
" 13081,15.4,1000,15400 "
" 13082,15.4,2200,33880 "
" 13083,15.3,4000,61200 "
" 13084,15.35,100,1535 "
" 13085,15.15,2200,33330 "
" 13086,15,700,10500 "
" 13087,15,1900,28500 "
" 13088,15,1100,16500 "
" 13089,15,2794,41910 "
" 13090,15,1306,19590 "
" 13091,15,2000,30000 "
" 13092,15.3,694,10618.2 "
" 13093,15.35,100,1535 "
" 13094,15.05,100,1505 "
" 13095,15.1,500,7550 "
" 13096,15.1,500,7550 "
" 13097,15.1,12500,188750 "
" 13098,15.1,38,573.8 "
" 13099,15,12,180 "
" 13100,15.1,1988,30018.8 "
" 13101,15,1000,15000 "
" 13102,15,1000,15000 "
" 13103,15,448,6720 "
" 13104,15,666,9990 "
" 13105,15,4434,66510 "
" 13106,15,566,8490 "
" 13107,15,1000,15000 "
" 13108,15,1000,15000 "
" 13109,15,1000,15000 "
" 13110,15,2000,30000 "
" 13111,14.8,250,3700 "
" 13112,14.8,500,7400 "
" 13113,14.7,250,3675 "
" 13114,14.7,50,735 "
" 13115,14.7,500,7350 "
" 13116,14.7,282,4145.4 "
" 13117,14.9,1000,14900 "
" 13118,14.9,20000,298000 "
" 13119,14.9,1000,14900 "
" 13120,14.9,3000,44700 "
" 13121,14.9,35,521.5 "
" 13122,14.9,1463,21798.7 "
" 13123,14.8,57,843.6 "
" 13124,14.8,950,14060 "
" 13125,15.3,140,2142 "
" 13126,14.7,333,4895.1 "
" 13127,15,2200,33000 "
" 13128,15,6950,104250 "
" 13129,14.8,7771,115010.8 "
" 13130,14.7,1667,24504.9 "
" 13131,14.7,525,7717.5 "
" 13132,14.7,25,367.5 "
" 13133,14.7,1000,14700 "
" 13134,14.7,475,6982.5 "
" 13135,14.7,500,7350 "
" 13136,14.7,3500,51450 "
" 13137,14.7,475,6982.5 "
" 13138,14.6,1000,14600 "
" 13139,14.6,2312,33755.2 "
" 13140,14.6,1000,14600 "
" 13141,14.6,525,7665 "
" 13142,14.7,669,9834.3 "
" 13143,14.6,500,7300 "
" 13144,14.6,500,7300 "
" 13145,14.6,163,2379.8 "
" 13146,14.5,337,4886.5 "
" 13147,14.5,2631,38149.5 "
" 13148,14.8,20,296 "
" 13149,14.8,675,9990 "
" 13150,14.5,503,7293.5 "
" 13151,14.55,540,7857 "
" 13152,14.8,1930,28564 "
" 13153,14.8,6,88.8 "
" 13154,14.8,491,7266.8 "
" 13155,14.8,1439,21297.2 "
" 13156,14.8,540,7992 "
" 13157,14.9,66,983.4 "
" 13158,14.9,2284,34031.6 "
" 13159,14.9,1798,26790.2 "
" 13160,15,275,4125 "
" 13161,15,438,6570 "
" 13162,15,4287,64305 "
" 13163,15,713,10695 "
" 13164,15.05,3000,45150 "
" 13165,15,205,3075 "
" 13166,15,504,7560 "
" 13167,15,500,7500 "
" 13168,15,131,1965 "
" 13169,15,2000,30000 "
" 13170,15,1865,27975 "
" 13171,15,6135,92025 "
" 13172,15,500,7500 "
" 13173,15,1000,15000 "
" 13174,15,1161,17415 "
" 13175,15,77,1155 "
" 13176,14.95,446,6667.7 "
" 13177,15,1000,15000 "
" 13178,15.05,500,7525 "
" 13179,15.1,500,7550 "
" 13180,15.1,367,5541.7 "
" 13181,15.2,133,2021.6 "
" 13182,15.05,500,7525 "
" 13183,15.2,403,6125.6 "
" 13184,15.2,297,4514.4 "
" 13185,15.2,97,1474.4 "
" 13186,15.2,903,13725.6 "
" 13187,15.15,496,7514.4 "
" 13188,15,1000,15000 "
" 13189,15,2000,30000 "
" 13190,15.15,97,1469.55 "
" 13191,15.15,1000,15150 "
" 13192,15.15,2301,34860.15 "
" 13193,15.1,2363,35681.3 "
" 13194,15.15,1750,26512.5 "
" 13195,15.2,984,14956.8 "
" 13196,15.2,1277,19410.4 "
" 13197,15.1,552,8335.2 "
" 13198,15.2,725,11020 "
" 13199,15.2,1723,26189.6 "
" 13200,15.2,200,3040 "
" 13201,15.2,1000,15200 "
" 13202,15.4,291,4481.4 "
" 13203,15.4,358,5513.2 "
" 13204,15.4,34,523.6 "
" 13205,15.4,108,1663.2 "
" 13206,15.4,280,4312 "
" 13207,15.5,500,7750 "
" 13208,15.5,1324,20522 "
" 13209,15.5,320,4960 "
" 13210,15.5,180,2790 "
" 13211,15.5,6000,93000 "
" 13212,15.5,1000,15500 "
" 13213,15.5,1000,15500 "
" 13214,15.65,500,7825 "
" 13215,15.65,4800,75120 "
" 13216,15.65,3,46.95 "
" 13217,15.65,497,7778.05 "
" 13218,15.7,1134,17803.8 "
" 13219,15.65,2000,31300 "
" 13220,15.7,55,863.5 "
" 13221,15.7,3895,61151.5 "
" 13222,15.65,250,3912.5 "
" 13223,15.65,1750,27387.5 "
" 13224,15.65,115,1799.75 "
