,  PRECIO  ,  VN  ,  PxQ  , Mayor a 100K 
 105 , 2.20 ," 1,203.00 "," 2,646.60 ", -   
 106 , 2.20 ," 3,624.00 "," 7,972.80 ", -   
 107 , 2.20 ," 5,000.00 "," 11,000.00 ", -   
 108 , 2.20 , 908.00 ," 1,997.60 ", -   
 109 , 2.20 , 908.00 ," 1,997.60 ", -   
 110 , 2.20 ," 10,409.00 "," 22,899.80 ", -   
 111 , 2.20 ," 6,397.00 "," 14,073.40 ", -   
 112 , 2.20 ," 3,000.00 "," 6,600.00 ", -   
 113 , 2.20 ," 9,941.00 "," 21,870.20 ", -   
 114 , 2.20 ," 2,335.00 "," 5,137.00 ", -   
 115 , 2.20 , 970.00 ," 2,134.00 ", -   
 116 , 2.20 ," 7,315.00 "," 16,093.00 ", -   
 117 , 2.21 , 500.00 ," 1,105.00 ", -   
 118 , 2.24 , 450.00 ," 1,008.00 ", -   
 119 , 2.25 , 110.00 , 247.50 , -   
 120 , 2.25 ," 1,300.00 "," 2,925.00 ", -   
 121 , 2.24 ," 2,818.00 "," 6,312.32 ", -   
 122 , 2.25 , 772.00 ," 1,737.00 ", -   
 123 , 2.25 ," 1,890.00 "," 4,252.50 ", -   
 124 , 2.25 ," 5,000.00 "," 11,250.00 ", -   
 125 , 2.25 ," 3,110.00 "," 6,997.50 ", -   
 126 , 2.25 ," 2,000.00 "," 4,500.00 ", -   
 127 , 2.25 ," 1,000.00 "," 2,250.00 ", -   
 128 , 2.25 ," 1,612.00 "," 3,627.00 ", -   
 129 , 2.25 , 388.00 , 873.00 , -   
 130 , 2.25 ," 3,500.00 "," 7,875.00 ", -   
 131 , 2.25 , 52.00 , 117.00 , -   
 132 , 2.25 , 24.00 , 54.00 , -   
 133 , 2.25 ," 1,424.00 "," 3,204.00 ", -   
 134 , 2.25 ," 2,731.00 "," 6,144.75 ", -   
 135 , 2.25 ," 3,587.00 "," 8,070.75 ", -   
 136 , 2.25 ," 3,562.00 "," 8,014.50 ", -   
 137 , 2.25 , 120.00 , 270.00 , -   
 138 , 2.25 ," 7,000.00 "," 15,750.00 ", -   
 139 , 2.25 , 302.00 , 679.50 , -   
 140 , 2.25 ," 9,698.00 "," 21,820.50 ", -   
 141 , 2.25 ," 10,000.00 "," 22,500.00 ", -   
 142 , 2.25 ," 10,000.00 "," 22,500.00 ", -   
 143 , 2.25 , 302.00 , 679.50 , -   
 144 , 2.26 ," 3,198.00 "," 7,227.48 ", -   
 145 , 2.25 ," 2,500.00 "," 5,625.00 ", -   
 146 , 2.25 ," 5,000.00 "," 11,250.00 ", -   
 147 , 2.25 ," 1,584.00 "," 3,564.00 ", -   
 148 , 2.26 ," 1,000.00 "," 2,260.00 ", -   
 149 , 2.26 ," 5,000.00 "," 11,300.00 ", -   
 150 , 2.26 , 802.00 ," 1,812.52 ", -   
 151 , 2.27 , 500.00 ," 1,135.00 ", -   
 152 , 2.27 ," 2,000.00 "," 4,540.00 ", -   
 153 , 2.30 ," 6,143.00 "," 14,128.90 ", -   
 154 , 2.30 ," 8,857.00 "," 20,371.10 ", -   
 155 , 2.30 ," 1,077.00 "," 2,477.10 ", -   
 156 , 2.30 ," 12,780.00 "," 29,394.00 ", -   
 157 , 2.30 , 500.00 ," 1,150.00 ", -   
 158 , 2.30 ," 1,262.00 "," 2,902.60 ", -   
 159 , 2.30 , 842.00 ," 1,936.60 ", -   
 160 , 2.30 , 458.00 ," 1,053.40 ", -   
 161 , 2.35 ," 5,000.00 "," 11,750.00 ", -   
 162 , 2.35 ," 5,000.00 "," 11,750.00 ", -   
 163 , 2.35 ," 1,852.00 "," 4,352.20 ", -   
 164 , 2.35 ," 1,700.00 "," 3,995.00 ", -   
 165 , 2.35 , 148.00 , 347.80 , -   
 166 , 2.31 ," 1,362.00 "," 3,146.22 ", -   
 167 , 2.35 ," 3,152.00 "," 7,407.20 ", -   
 168 , 2.35 ," 9,999.00 "," 23,497.65 ", -   
 169 , 2.35 ," 6,849.00 "," 16,095.15 ", -   
 170 , 2.35 ," 6,007.00 "," 14,116.45 ", -   
 171 , 2.35 ," 3,151.00 "," 7,404.85 ", -   
 172 , 2.35 , 842.00 ," 1,978.70 ", -   
 173 , 2.35 ," 3,994.00 "," 9,385.90 ", -   
 174 , 2.35 ," 2,236.00 "," 5,254.60 ", -   
 175 , 2.35 ," 2,683.00 "," 6,305.05 ", -   
 176 , 2.36 ," 5,000.00 "," 11,800.00 ", -   
 177 , 2.36 ," 2,500.00 "," 5,900.00 ", -   
 178 , 2.35 , 362.00 , 850.70 , -   
 179 , 2.38 , 137.00 , 326.06 , -   
 180 , 2.38 ," 2,500.00 "," 5,950.00 ", -   
 181 , 2.38 , 725.00 ," 1,725.50 ", -   
 182 , 2.38 ," 1,638.00 "," 3,898.44 ", -   
 183 , 2.38 , 461.00 ," 1,097.18 ", -   
 184 , 2.38 ," 1,033.00 "," 2,458.54 ", -   
 185 , 2.38 , 239.00 , 568.82 , -   
 186 , 2.38 ," 1,753.00 "," 4,172.14 ", -   
 187 , 2.39 ," 1,033.00 "," 2,468.87 ", -   
 188 , 2.39 ," 2,000.00 "," 4,780.00 ", -   
 189 , 2.39 ," 2,928.00 "," 6,997.92 ", -   
 190 , 2.39 ," 1,039.00 "," 2,483.21 ", -   
 191 , 2.39 ," 1,461.00 "," 3,491.79 ", -   
 192 , 2.39 , 500.00 ," 1,195.00 ", -   
 193 , 2.39 ," 1,000.00 "," 2,390.00 ", -   
 194 , 2.39 ," 5,000.00 "," 11,950.00 ", -   
 195 , 2.39 , 39.00 , 93.21 , -   
 196 , 2.40 ," 10,000.00 "," 24,000.00 ", -   
 197 , 2.40 ," 5,000.00 "," 12,000.00 ", -   
 198 , 2.40 ," 40,000.00 "," 96,000.00 ", 1.00 
 199 , 2.40 ," 1,000.00 "," 2,400.00 ", -   
 200 , 2.40 , 500.00 ," 1,200.00 ", -   
 201 , 2.50 ," 2,300.00 "," 5,750.00 ", -   
 202 , 2.50 ," 2,700.00 "," 6,750.00 ", -   
 203 , 2.55 ," 4,060.00 "," 10,353.00 ", -   
 204 , 2.53 , 940.00 ," 2,378.20 ", -   
 205 , 2.55 , 940.00 ," 2,397.00 ", -   
 206 , 2.60 ," 2,000.00 "," 5,200.00 ", -   
 207 , 2.60 ," 1,000.00 "," 2,600.00 ", -   
