,Precio,VN,PXQ,Dia,Mes,Año,Hora,Min,Segundo,Variac c resp a precio operado anterior
0,11.00,"1,038",11418,10,8,2017,11,5,30,0.0000000000000
1,11.00,922,10142,10,8,2017,11,10,47,0.0000000000000
2,11.00,"2,000",22000,10,8,2017,11,11,30,0.0000000000000
3,11.00,78,858,10,8,2017,11,11,49,0.0000000000000
4,11.00,183,2013,10,8,2017,11,12,2,0.0000000000000
5,11.00,317,3487,10,8,2017,11,19,4,0.0000000000000
6,10.90,152,1656.8,10,8,2017,11,23,28,-0.0090909090909
7,11.00,90,990,10,8,2017,11,28,10,0.0091743119266
8,11.25,50,562.5,10,8,2017,11,29,26,0.0227272727273
9,11.20,"1,000",11200,10,8,2017,11,31,59,-0.0044444444444
10,11.20,500,5600,10,8,2017,11,32,51,0.0000000000000
11,11.20,"5,000",56000,10,8,2017,11,33,28,0.0000000000000
12,11.15,"10,000",111500,10,8,2017,11,33,29,-0.0044642857143
13,11.20,51,571.2,10,8,2017,11,33,55,0.0044843049327
14,11.25,917,10316.25,10,8,2017,11,35,12,0.0044642857143
15,11.25,"1,715",19293.75,10,8,2017,11,37,45,0.0000000000000
16,11.25,"2,582",29047.5,10,8,2017,11,39,3,0.0000000000000
17,11.25,"4,418",49702.5,10,8,2017,11,39,3,0.0000000000000
18,11.25,418,4702.5,10,8,2017,11,46,28,0.0000000000000
19,11.25,22,247.5,10,8,2017,11,46,28,0.0000000000000
20,11.25,"4,978",56002.5,10,8,2017,11,47,36,0.0000000000000
21,11.25,"2,500",28125,10,8,2017,11,51,44,0.0000000000000
22,11.25,977,10991.25,10,8,2017,11,54,34,0.0000000000000
23,11.25,"1,000",11250,10,8,2017,11,57,44,0.0000000000000
24,11.25,"9,376",105480,10,8,2017,11,57,44,0.0000000000000
25,11.25,23,258.75,10,8,2017,11,57,44,0.0000000000000
26,11.30,"3,000",33900,10,8,2017,11,59,13,0.0044444444444
27,11.30,317,3582.1,10,8,2017,11,59,13,0.0000000000000
28,11.30,"1,683",19017.9,10,8,2017,11,59,19,0.0000000000000
29,11.30,317,3582.1,10,8,2017,11,59,24,0.0000000000000
30,11.35,"1,500",17025,10,8,2017,11,59,34,0.0044247787611
31,11.40,"1,038",11833.2,10,8,2017,12,2,44,0.0044052863436
32,11.40,"2,470",28158,10,8,2017,12,3,9,0.0000000000000
33,11.40,"3,000",34200,10,8,2017,12,7,51,0.0000000000000
34,11.45,900,10305,10,8,2017,12,8,37,0.0043859649123
35,11.45,80,916,10,8,2017,12,8,52,0.0000000000000
36,11.45,"2,020",23129,10,8,2017,12,8,53,0.0000000000000
37,11.45,"3,000",34350,10,8,2017,12,8,53,0.0000000000000
38,11.45,"2,500",28625,10,8,2017,12,8,53,0.0000000000000
39,11.45,"3,500",40075,10,8,2017,12,8,53,0.0000000000000
40,11.45,80,916,10,8,2017,12,8,53,0.0000000000000
41,11.45,320,3664,10,8,2017,12,8,57,0.0000000000000
42,11.45,"2,500",28625,10,8,2017,12,8,57,0.0000000000000
43,11.50,"5,000",57500,10,8,2017,12,9,0,0.0043668122271
44,11.50,"13,000",149500,10,8,2017,12,9,0,0.0000000000000
45,11.50,415,4772.5,10,8,2017,12,9,0,0.0000000000000
46,11.50,"5,000",57500,10,8,2017,12,9,0,0.0000000000000
47,11.50,"2,500",28750,10,8,2017,12,9,0,0.0000000000000
48,11.50,"1,376",15824,10,8,2017,12,9,0,0.0000000000000
49,11.50,"1,558",17917,10,8,2017,12,9,0,0.0000000000000
50,11.50,"5,000",57500,10,8,2017,12,9,0,0.0000000000000
51,11.60,"5,000",58000,10,8,2017,12,9,8,0.0086956521739
52,11.60,"1,379",15996.4,10,8,2017,12,12,13,0.0000000000000
53,11.60,"4,929",57176.4,10,8,2017,12,12,48,0.0000000000000
54,11.60,"1,756",20369.6,10,8,2017,12,13,17,0.0000000000000
55,11.60,650,7540,10,8,2017,12,13,57,0.0000000000000
56,11.60,"1,000",11600,10,8,2017,12,13,57,0.0000000000000
57,11.60,"2,000",23200,10,8,2017,12,15,20,0.0000000000000
58,11.60,"1,700",19720,10,8,2017,12,16,20,0.0000000000000
59,11.60,650,7540,10,8,2017,12,16,26,0.0000000000000
60,11.65,"2,389",27831.85,10,8,2017,12,16,29,0.0043103448276
61,11.65,"1,000",11650,10,8,2017,12,16,29,0.0000000000000
62,11.65,"2,500",29125,10,8,2017,12,16,34,0.0000000000000
63,11.65,"2,811",32748.15,10,8,2017,12,16,34,0.0000000000000
64,11.55,900,10395,10,8,2017,12,18,21,-0.0085836909871
65,11.55,"4,000",46200,10,8,2017,12,18,21,0.0000000000000
66,11.55,"1,000",11550,10,8,2017,12,19,6,0.0000000000000
67,11.55,"1,000",11550,10,8,2017,12,19,58,0.0000000000000
68,11.60,689,7992.4,10,8,2017,12,22,14,0.0043290043290
69,11.60,"4,811",55807.6,10,8,2017,12,22,19,0.0000000000000
70,11.55,811,9367.05,10,8,2017,12,22,21,-0.0043103448276
71,11.60,"4,189",48592.4,10,8,2017,12,22,21,0.0043290043290
72,11.55,"1,139",13155.45,10,8,2017,12,23,47,-0.0043103448276
73,11.55,865,9990.75,10,8,2017,12,23,47,0.0000000000000
74,11.50,"1,998",22977,10,8,2017,12,23,52,-0.0043290043290
75,11.50,"5,284",60766,10,8,2017,12,23,52,0.0000000000000
76,11.55,"4,329",49999.95,10,8,2017,12,24,47,0.0043478260870
77,11.55,"1,000",11550,10,8,2017,12,24,54,0.0000000000000
78,11.55,"7,267",83933.85,10,8,2017,12,28,40,0.0000000000000
79,11.50,100,1150,10,8,2017,12,30,34,-0.0043290043290
80,11.55,900,10395,10,8,2017,12,30,34,0.0043478260870
81,11.60,"1,500",17400,10,8,2017,12,37,4,0.0043290043290
82,11.60,"1,459",16924.4,10,8,2017,12,37,11,0.0000000000000
83,11.60,"1,700",19720,10,8,2017,12,37,43,0.0000000000000
84,11.60,"3,744",43430.4,10,8,2017,12,37,57,0.0000000000000
85,11.55,"2,770",31993.5,10,8,2017,12,38,33,-0.0043103448276
86,11.55,280,3234,10,8,2017,12,38,55,0.0000000000000
87,11.55,854,9863.7,10,8,2017,12,38,55,0.0000000000000
88,11.55,866,10002.3,10,8,2017,12,38,55,0.0000000000000
89,11.55,"1,700",19635,10,8,2017,12,39,4,0.0000000000000
90,11.55,20,231,10,8,2017,12,39,55,0.0000000000000
91,11.50,"5,400",62100,10,8,2017,12,40,23,-0.0043290043290
92,11.50,"2,030",23345,10,8,2017,12,40,23,0.0000000000000
93,11.45,10,114.5,10,8,2017,12,40,46,-0.0043478260870
94,11.55,377,4354.35,10,8,2017,12,41,7,0.0087336244541
95,11.45,26,297.7,10,8,2017,12,41,19,-0.0086580086580
96,11.50,10,115,10,8,2017,12,55,17,0.0043668122271
97,11.55,87,1004.85,10,8,2017,12,55,39,0.0043478260870
98,11.50,"1,810",20815,10,8,2017,12,57,18,-0.0043290043290
99,11.50,690,7935,10,8,2017,12,57,18,0.0000000000000
100,11.55,"2,000",23100,10,8,2017,12,59,57,0.0043478260870
101,11.55,123,1420.65,10,8,2017,13,1,40,0.0000000000000
102,11.55,"2,000",23100,10,8,2017,13,5,31,0.0000000000000
103,11.55,500,5775,10,8,2017,13,6,37,0.0000000000000
104,11.55,290,3349.5,10,8,2017,13,10,43,0.0000000000000
105,11.55,"2,500",28875,10,8,2017,13,10,43,0.0000000000000
106,11.55,500,5775,10,8,2017,13,10,43,0.0000000000000
107,11.55,"2,000",23100,10,8,2017,13,10,43,0.0000000000000
108,11.60,944,10950.4,10,8,2017,13,10,50,0.0043290043290
109,11.60,56,649.6,10,8,2017,13,10,50,0.0000000000000
110,11.55,"1,777",20524.35,10,8,2017,13,11,20,-0.0043103448276
111,11.60,400,4640,10,8,2017,13,11,43,0.0043290043290
112,11.60,840,9744,10,8,2017,13,12,9,0.0000000000000
113,11.60,331,3839.6,10,8,2017,13,12,41,0.0000000000000
114,11.60,"1,880",21808,10,8,2017,13,15,10,0.0000000000000
115,11.60,200,2320,10,8,2017,13,15,25,0.0000000000000
116,11.60,"3,405",39498,10,8,2017,13,17,27,0.0000000000000
117,11.60,"1,343",15578.8,10,8,2017,13,17,27,0.0000000000000
118,11.60,"1,157",13421.2,10,8,2017,13,17,32,0.0000000000000
119,11.60,"1,143",13258.8,10,8,2017,13,17,32,0.0000000000000
120,11.60,577,6693.2,10,8,2017,13,17,51,0.0000000000000
121,11.60,"1,850",21460,10,8,2017,13,21,17,0.0000000000000
122,11.60,"5,000",58000,10,8,2017,13,23,0,0.0000000000000
