,Precio,VN,PXQ,Hora,Min,Segundo,Mayor,Menor,Igual,Variac c resp a precio operado anterior
 -   , 11.00 ," 1,038 "," 11,418.00 ", 11 , 5 , 30 , -   , -   , 1.00 , -   
 1.00 , 11.00 , 922 ," 10,142.00 ", 11 , 10 , 47 , -   , -   , 1.00 , -   
 2.00 , 11.00 ," 2,000 "," 22,000.00 ", 11 , 11 , 30 , -   , -   , 1.00 , -   
 3.00 , 11.00 , 78 , 858.00 , 11 , 11 , 49 , -   , -   , 1.00 , -   
 4.00 , 11.00 , 183 ," 2,013.00 ", 11 , 12 , 2 , -   , -   , 1.00 , -   
 5.00 , 11.00 , 317 ," 3,487.00 ", 11 , 19 , 4 , -   , -   , 1.00 , -   
 6.00 , 10.90 , 152 ," 1,656.80 ", 11 , 23 , 28 , -   , 1.00 , -   , (1.00)
 7.00 , 11.00 , 90 , 990.00 , 11 , 28 , 10 , 1.00 , -   , -   , 1.00 
 8.00 , 11.25 , 50 , 562.50 , 11 , 29 , 26 , 1.00 , -   , -   , 1.00 
 9.00 , 11.20 ," 1,000 "," 11,200.00 ", 11 , 31 , 59 , -   , 1.00 , -   , (1.00)
 10.00 , 11.20 , 500 ," 5,600.00 ", 11 , 32 , 51 , -   , -   , 1.00 , -   
 11.00 , 11.20 ," 5,000 "," 56,000.00 ", 11 , 33 , 28 , -   , -   , 1.00 , -   
 12.00 , 11.15 ," 10,000 "," 111,500.00 ", 11 , 33 , 29 , -   , 1.00 , -   , (1.00)
 13.00 , 11.20 , 51 , 571.20 , 11 , 33 , 55 , 1.00 , -   , -   , 1.00 
 14.00 , 11.25 , 917 ," 10,316.25 ", 11 , 35 , 12 , 1.00 , -   , -   , 1.00 
 15.00 , 11.25 ," 1,715 "," 19,293.75 ", 11 , 37 , 45 , -   , -   , 1.00 , -   
 16.00 , 11.25 ," 2,582 "," 29,047.50 ", 11 , 39 , 3 , -   , -   , 1.00 , -   
 17.00 , 11.25 ," 4,418 "," 49,702.50 ", 11 , 39 , 3 , -   , -   , 1.00 , -   
 18.00 , 11.25 , 418 ," 4,702.50 ", 11 , 46 , 28 , -   , -   , 1.00 , -   
 19.00 , 11.25 , 22 , 247.50 , 11 , 46 , 28 , -   , -   , 1.00 , -   
 20.00 , 11.25 ," 4,978 "," 56,002.50 ", 11 , 47 , 36 , -   , -   , 1.00 , -   
 21.00 , 11.25 ," 2,500 "," 28,125.00 ", 11 , 51 , 44 , -   , -   , 1.00 , -   
 22.00 , 11.25 , 977 ," 10,991.25 ", 11 , 54 , 34 , -   , -   , 1.00 , -   
 23.00 , 11.25 ," 1,000 "," 11,250.00 ", 11 , 57 , 44 , -   , -   , 1.00 , -   
 24.00 , 11.25 ," 9,376 "," 105,480.00 ", 11 , 57 , 44 , -   , -   , 1.00 , -   
 25.00 , 11.25 , 23 , 258.75 , 11 , 57 , 44 , -   , -   , 1.00 , -   
 26.00 , 11.30 ," 3,000 "," 33,900.00 ", 11 , 59 , 13 , 1.00 , -   , -   , 1.00 
 27.00 , 11.30 , 317 ," 3,582.10 ", 11 , 59 , 13 , -   , -   , 1.00 , -   
 28.00 , 11.30 ," 1,683 "," 19,017.90 ", 11 , 59 , 19 , -   , -   , 1.00 , -   
 29.00 , 11.30 , 317 ," 3,582.10 ", 11 , 59 , 24 , -   , -   , 1.00 , -   
 30.00 , 11.35 ," 1,500 "," 17,025.00 ", 11 , 59 , 34 , 1.00 , -   , -   , 1.00 
 31.00 , 11.40 ," 1,038 "," 11,833.20 ", 12 , 2 , 44 , 1.00 , -   , -   , 1.00 
 32.00 , 11.40 ," 2,470 "," 28,158.00 ", 12 , 3 , 9 , -   , -   , 1.00 , -   
 33.00 , 11.40 ," 3,000 "," 34,200.00 ", 12 , 7 , 51 , -   , -   , 1.00 , -   
 34.00 , 11.45 , 900 ," 10,305.00 ", 12 , 8 , 37 , 1.00 , -   , -   , 1.00 
 35.00 , 11.45 , 80 , 916.00 , 12 , 8 , 52 , -   , -   , 1.00 , -   
 36.00 , 11.45 ," 2,020 "," 23,129.00 ", 12 , 8 , 53 , -   , -   , 1.00 , -   
 37.00 , 11.45 ," 3,000 "," 34,350.00 ", 12 , 8 , 53 , -   , -   , 1.00 , -   
 38.00 , 11.45 ," 2,500 "," 28,625.00 ", 12 , 8 , 53 , -   , -   , 1.00 , -   
 39.00 , 11.45 ," 3,500 "," 40,075.00 ", 12 , 8 , 53 , -   , -   , 1.00 , -   
 40.00 , 11.45 , 80 , 916.00 , 12 , 8 , 53 , -   , -   , 1.00 , -   
 41.00 , 11.45 , 320 ," 3,664.00 ", 12 , 8 , 57 , -   , -   , 1.00 , -   
 42.00 , 11.45 ," 2,500 "," 28,625.00 ", 12 , 8 , 57 , -   , -   , 1.00 , -   
 43.00 , 11.50 ," 5,000 "," 57,500.00 ", 12 , 9 , -   , 1.00 , -   , -   , 1.00 
 44.00 , 11.50 ," 13,000 "," 149,500.00 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 45.00 , 11.50 , 415 ," 4,772.50 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 46.00 , 11.50 ," 5,000 "," 57,500.00 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 47.00 , 11.50 ," 2,500 "," 28,750.00 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 48.00 , 11.50 ," 1,376 "," 15,824.00 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 49.00 , 11.50 ," 1,558 "," 17,917.00 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 50.00 , 11.50 ," 5,000 "," 57,500.00 ", 12 , 9 , -   , -   , -   , 1.00 , -   
 51.00 , 11.60 ," 5,000 "," 58,000.00 ", 12 , 9 , 8 , 1.00 , -   , -   , 1.00 
 52.00 , 11.60 ," 1,379 "," 15,996.40 ", 12 , 12 , 13 , -   , -   , 1.00 , -   
 53.00 , 11.60 ," 4,929 "," 57,176.40 ", 12 , 12 , 48 , -   , -   , 1.00 , -   
 54.00 , 11.60 ," 1,756 "," 20,369.60 ", 12 , 13 , 17 , -   , -   , 1.00 , -   
 55.00 , 11.60 , 650 ," 7,540.00 ", 12 , 13 , 57 , -   , -   , 1.00 , -   
 56.00 , 11.60 ," 1,000 "," 11,600.00 ", 12 , 13 , 57 , -   , -   , 1.00 , -   
 57.00 , 11.60 ," 2,000 "," 23,200.00 ", 12 , 15 , 20 , -   , -   , 1.00 , -   
 58.00 , 11.60 ," 1,700 "," 19,720.00 ", 12 , 16 , 20 , -   , -   , 1.00 , -   
 59.00 , 11.60 , 650 ," 7,540.00 ", 12 , 16 , 26 , -   , -   , 1.00 , -   
 60.00 , 11.65 ," 2,389 "," 27,831.85 ", 12 , 16 , 29 , 1.00 , -   , -   , 1.00 
 61.00 , 11.65 ," 1,000 "," 11,650.00 ", 12 , 16 , 29 , -   , -   , 1.00 , -   
 62.00 , 11.65 ," 2,500 "," 29,125.00 ", 12 , 16 , 34 , -   , -   , 1.00 , -   
 63.00 , 11.65 ," 2,811 "," 32,748.15 ", 12 , 16 , 34 , -   , -   , 1.00 , -   
 64.00 , 11.55 , 900 ," 10,395.00 ", 12 , 18 , 21 , -   , 1.00 , -   , (1.00)
 65.00 , 11.55 ," 4,000 "," 46,200.00 ", 12 , 18 , 21 , -   , -   , 1.00 , -   
